Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019
BP2014_2019-2/1.1.2.5/0800-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0800-00;6159999;IE-GEEN;Scholenband;; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/1.2.1.1/0701-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.1.1;0701-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy; 1.936,00;;;;;
BP2014_2019-2/1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2140007;IE1;Plannen en studies - Activa in aanbouw; 107.507,97; 150.000,00; 109.166,79;;;
BP2014_2019-2/1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2210100;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;;; 1.750.000,00;;;
BP2014_2019-2/1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2210107;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw; 1.071.849,99; 3.387.415,61; 1.000.000,00;;;
BP2014_2019-2/1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2240007;IE1;nieuw gemeentehuis: omgevingswerken;; 80.000,00; 137.800,00;;;
BP2014_2019-2/1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2400000;IE1;Meubilair - gemeenschapsgoederen;; 245.000,00;;;;
BP2014_2019-2/1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;0119-00;2410000;IE1;Informaticamaterieel - gemeenschapsgoederen; 32.043,61; 206.473,34; 124.100,00; 3.000,00; 3.000,00; 3.000,00
BP2014_2019-2/1.2.3.3/0600-00/6142999/BESTUUR/CBS/IE-GEEN/U;1.2.3.3;0600-00;6142999;IE-GEEN;Overige informaticakosten;; 500,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/1.2.3.7/0113-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;; 3.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/1.2.3.7/0113-00/6141001/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6141001;IE-GEEN;Kantoorbenodigdheden;; 300,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/1.2.3.8/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.3.8;0160-00;6159999;IE-GEEN;Overige exploitatiekosten; 402,68; 1.000,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/1.2.4.1/0721-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 3.930,00; 3.930,00; 4.000,00; 4.000,00; 4.000,00; 4.000,00
BP2014_2019-2/1.2.4.2/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 1.000,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.2.4.3/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.4.3;0160-00;6159999;IE-GEEN;Overige exploitatiekosten; 8.200,00; 6.000,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00
BP2014_2019-2/1.2.5.1/0100-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0100-00;6150010;IE-GEEN;Opleidingskosten; 404,79; 1.400,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/1.2.5.1/0110-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0110-00;6150010;IE-GEEN;Opleidingskosten;; 150,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/1.2.5.1/0111-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0111-00;6150010;IE-GEEN;Opleidingskosten; 1.961,95; 1.900,00; 1.600,00; 1.600,00; 1.600,00; 1.600,00
BP2014_2019-2/1.2.5.1/0112-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0112-00;6150010;IE-GEEN;Opleidingskosten; 78,00; 150,00; 150,00; 150,00; 150,00; 150,00
BP2014_2019-2/1.2.5.1/0119-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0119-00;6150010;IE-GEEN;Opleidingskosten; 2.963,70; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/1.2.5.1/0130-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0130-00;6150010;IE-GEEN;Opleidingskosten; 738,50; 200,00; 600,00; 600,00; 600,00; 600,00
BP2014_2019-2/1.2.5.1/0160-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0160-00;6150010;IE-GEEN;Opleidingskosten;; 75,00; 75,00; 75,00; 75,00; 75,00
BP2014_2019-2/1.2.5.1/0200-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0200-00;6150010;IE-GEEN;Opleidingskosten; 150,00; 3.300,00; 8.000,00; 1.950,00; 1.950,00; 1.950,00
BP2014_2019-2/1.2.5.1/0309-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0309-00;6150010;IE-GEEN;Opleidingskosten;; 150,00; 150,00; 150,00; 150,00; 150,00
BP2014_2019-2/1.2.5.1/0390-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0390-00;6150010;IE-GEEN;Opleidingskosten; 50,00; 2.100,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/1.2.5.1/0520-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0520-00;6150010;IE-GEEN;Opleidingskosten; 63,00; 150,00; 150,00; 150,00; 150,00; 150,00
BP2014_2019-2/1.2.5.1/0600-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0600-00;6150010;IE-GEEN;Opleidingskosten; 880,00; 300,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/1.2.5.1/0680-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0680-00;6150010;IE-GEEN;Opleidingskosten; 150,00; 0,00; 1.650,00; 1.650,00; 1.650,00; 1.650,00
BP2014_2019-2/1.2.5.1/0701-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0701-00;6150010;IE-GEEN;Opleidingskosten; 1.271,57; 1.300,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/1.2.5.1/0703-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0703-00;6150010;IE-GEEN;Opleidingskosten; 529,50; 700,00; 900,00; 900,00; 900,00; 900,00
BP2014_2019-2/1.2.5.1/0740-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0740-00;6150010;IE-GEEN;Opleidingskosten; 505,00; 550,00; 750,00; 750,00; 750,00; 750,00
BP2014_2019-2/1.2.5.1/0750-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0750-00;6150010;IE-GEEN;Opleidingskosten; 200,00; 300,00; 150,00; 150,00; 150,00; 150,00
BP2014_2019-2/1.2.5.1/0800-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-00;6150010;IE-GEEN;Opleidingskosten; 400,00; 700,00; 100,00; 100,00; 100,00; 100,00
BP2014_2019-2/1.2.5.1/0800-00/7405999/BESTUUR/CBS/IE-GEEN/O;1.2.5.1;0800-00;7405999;IE-GEEN;Overige werkingstoelage aangaande personeelsaangelegenheden; 500,00;;;;;
BP2014_2019-2/1.2.5.1/0800-01/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-01;6150010;IE-GEEN;Opleidingskosten; 485,00; 750,00; 750,00; 750,00; 750,00; 750,00
BP2014_2019-2/1.2.5.1/0800-02/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-02;6150010;IE-GEEN;Opleidingskosten; 2.182,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/1.2.5.3/0119-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.5.3;0119-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy; 2.534,95; 25.545,00;;;;
BP2014_2019-2/2.1.1.1/0900-00/6494000/BESTUUR/CBS/IE-GEEN/U;2.1.1.1;0900-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;;; 846.654,72; 953.644,22; 985.377,10; 1.007.216,94
BP2014_2019-2/2.1.1.1/0909-00/6494000/BESTUUR/CBS/IE-GEEN/U;2.1.1.1;0909-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen; 799.416,15; 814.883,76;;;;
BP2014_2019-2/2.1.1.2/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 5.875,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00
BP2014_2019-2/2.1.1.3/0985-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.1.3;0985-00;6159999;IE-GEEN;Overige exploitatiekosten;;; 250,00;;;
BP2014_2019-2/2.1.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 30,00; 50,00; 50,00; 50,00; 50,00; 50,00
BP2014_2019-2/2.1.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/2.2.1.1/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 4.128,44; 4.500,00; 4.500,00; 4.500,00; 4.500,00; 4.500,00
BP2014_2019-2/2.2.1.1/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/2.2.1.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 288,00; 800,00; 800,00; 800,00; 800,00; 800,00
BP2014_2019-2/2.2.1.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten; 128,00; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/2.2.1.4/0959-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.4;0959-00;6159999;IE-GEEN;Overige exploitatiekosten;; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/2.2.1.7/0703-00/6131006/BESTUUR/CBS/IE-GEEN/U;2.2.1.7;0703-00;6131006;IE-GEEN;Erelonen en vergoedingen voor optredens, lesgevers, gidsen, tolken, e.d.; 316,00;;;;;
BP2014_2019-2/2.2.1.7/0703-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.7;0703-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 8.481,41; 9.000,00; 9.000,00; 9.000,00; 9.000,00; 9.000,00
BP2014_2019-2/2.2.2.2/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 8.610,01; 14.000,00; 14.000,00; 14.000,00; 14.000,00; 14.000,00
BP2014_2019-2/2.2.2.2/0750-00/6640000/BESTUUR/CBS/IE6/U;2.2.2.2;0750-00;6640000;IE6;Toegestane investeringssubsidies;; 1.200,00;;;;
BP2014_2019-2/2.2.2.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 8.854,80; 5.000,00; 5.000,00; 5.000,00; 5.000,00; 5.000,00
BP2014_2019-2/2.2.2.3/0740-00/6150200/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6150200;IE-GEEN;Huur technisch materieel; 1.553,50; 2.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/2.2.2.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten; 891,73; 2.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/2.2.2.3/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel; 3.330,75; 7.000,00; 7.000,00; 7.000,00; 7.000,00; 7.000,00
BP2014_2019-2/2.2.2.4/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6159999;IE-GEEN;Overige exploitatiekosten; 6.741,56; 8.000,00; 8.000,00; 8.000,00; 8.000,00; 8.000,00
BP2014_2019-2/2.2.2.4/0701-00/7010003/BESTUUR/CBS/IE-GEEN/O;2.2.2.4;0701-00;7010003;IE-GEEN;Toegangsgelden; 2.243,50;;;;;
BP2014_2019-2/2.2.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 917,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/2.2.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten; 11.055,72; 13.700,00; 13.700,00; 13.700,00; 13.700,00; 13.700,00
BP2014_2019-2/2.2.2.6/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel; 18.267,02; 20.000,00; 20.000,00; 20.000,00; 20.000,00; 20.000,00
BP2014_2019-2/2.2.2.6/0740-00/7005002/BESTUUR/CBS/IE-GEEN/O;2.2.2.6;0740-00;7005002;IE-GEEN;Opbrengsten uit bar/cafetaria; 1.327,30;; 800,00; 800,00; 800,00; 800,00
BP2014_2019-2/2.2.2.7/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 4.100,50; 4.800,00; 4.800,00; 4.800,00; 4.800,00; 4.800,00
BP2014_2019-2/2.2.2.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten; 1.547,04; 2.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/2.2.2.7/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6159999;IE-GEEN;Overige exploitatiekosten; 8.090,89; 10.000,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00
BP2014_2019-2/2.2.2.7/0750-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel; 7.271,11; 8.000,00; 8.000,00; 8.000,00; 8.000,00; 8.000,00
BP2014_2019-2/2.2.2.7/0750-00/7406999/BESTUUR/CBS/IE-GEEN/O;2.2.2.7;0750-00;7406999;IE-GEEN;Overige specifieke projectsubsidies; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/2.2.2.8/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden; 1.179,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/2.2.2.8/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten; 3.351,77; 4.700,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/2.2.2.8/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6159999;IE-GEEN;Overige exploitatiekosten; 392,83;; 4.700,00; 4.700,00; 4.700,00; 4.700,00
BP2014_2019-2/2.2.2.8/0750-00/7010002/BESTUUR/CBS/IE-GEEN/O;2.2.2.8;0750-00;7010002;IE-GEEN;Inschrijvingsgelden; 123,30;;;;;
BP2014_2019-2/2.2.3.1/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.1;0701-00;6159999;IE-GEEN;Overige exploitatiekosten; 416,00; 800,00; 800,00; 800,00; 800,00; 800,00
BP2014_2019-2/2.2.3.2/0911-00/6499000/BESTUUR/CBS/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Samenwerkingsovereenkomsten; 25.520,44; 24.000,00; 24.000,00; 24.000,00; 24.000,00; 24.000,00
BP2014_2019-2/2.2.3.4/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;; 315,00;; 300,00;; 300,00
BP2014_2019-2/2.2.3.4/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;; 600,00;; 1.200,00;; 1.200,00
BP2014_2019-2/2.2.3.5/0701-00/6400001/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0701-00;6400001;IE-GEEN;Roerende voorheffing;; 0,00; 71,40; 144,23; 218,51; 294,28
BP2014_2019-2/2.2.3.5/0710-00/6430100/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0710-00;6430100;IE-GEEN;Tussenkomst in exploitatiekosten; 3.800,00; 4.250,00; 4.250,00; 4.250,00; 4.250,00; 4.250,00
BP2014_2019-2/2.2.3.6/0190-00/6143005/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0190-00;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing); 47,89;;;;;
BP2014_2019-2/2.2.3.6/0701-00/6141007/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â¦);; 3,00; 3,00; 3,00; 3,00; 3,00
BP2014_2019-2/2.2.3.6/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6159999;IE-GEEN;Overige exploitatiekosten; 2.893,22; 7.000,00; 6.500,00; 7.000,00; 6.500,00; 8.000,00
BP2014_2019-2/2.2.3.6/0701-00/6201000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel; 93.973,44; 118.389,72; 122.742,56; 125.811,13; 128.956,41; 132.180,32
BP2014_2019-2/2.2.3.6/0701-00/6201100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6201100;IE-GEEN;Vakantiegeld vastbenoemd personeel; 7.863,03;;;;;
BP2014_2019-2/2.2.3.6/0701-00/6211000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel; 39.130,81; 54.818,83; 54.646,26; 56.012,41; 57.692,79; 59.135,11
BP2014_2019-2/2.2.3.6/0701-00/6211001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/2.2.3.6/0701-00/6221100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.; 674,30; 652,04; 844,60; 861,49; 878,72; 896,29
BP2014_2019-2/2.2.3.6/0701-00/6223100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6223100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;; 176,00;;;;
BP2014_2019-2/2.2.3.6/0701-00/6230001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk; 332,59; 300,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/2.2.3.6/0701-00/6231004/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231004;IE-GEEN;Maaltijdcheques; 2.688,00; 2.700,00; 2.700,00; 2.700,00; 2.700,00; 2.700,00
BP2014_2019-2/2.2.3.6/0701-00/6496000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6496000;IE-GEEN;Tussenkomst in de vakbondspremies; 93,10; 95,41; 96,84; 98,29; 99,77; 101,26
BP2014_2019-2/2.2.3.6/0701-00/7005002/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7005002;IE-GEEN;Opbrengsten uit bar/cafetaria; 461,94;;;;;
BP2014_2019-2/2.2.3.6/0701-00/7010002/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7010002;IE-GEEN;Inschrijvingsgelden; 57,12;;;;;
BP2014_2019-2/2.2.3.6/0701-00/7470000/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7470000;IE-GEEN;Werknemersinhouding maaltijdcheques; 440,36; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/2.2.3.7/0701-00/6143001/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal; 179,90; 200,00; 0,00; 0,00; 0,00; 0,00
