Code;Actie;Beleidsitem code;Algemene rekening;Economische sectorcode;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019
BP2014_2019-1/1.1.2.1/0520-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0520-00;6493000;500;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0530-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0530-00;6493000;500;IE-GEEN;* Subsidie landbouwraad;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0709-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0709-00;6493000;500;IE-GEEN;* Toelage culturele raad;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.2.1/0729-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0729-00;6493000;500;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.2.1/0740-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.1;0740-00;6493000;800;IE-GEEN;Toelage sportraad;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.2.1/0750-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0750-00;6493000;500;IE-GEEN;Toelage jeugdraad;€ 600.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.2.1/0909-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0909-00;6493000;500;IE-GEEN;Toelage Welzijnsraad;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0944-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0944-00;6493000;500;IE-GEEN;Toelage Lokaal Overleg Kinderopvang;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0959-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0959-00;6493000;500;IE-GEEN;* Toelage seniorenraad;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.5/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.1.2.5;0160-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 12,500.00;€ 12,500.00;€ 12,500.00;€ 12,500.00;€ 12,500.00;€ 12,500.00
BP2014_2019-1/1.1.2.5/0800-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.1.2.5;0800-00;6159999;600;IE-GEEN;Scholenband;;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00
BP2014_2019-1/1.1.2.5/0800-00/6159999/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.5;0800-00;6159999;800;IE-GEEN;Overige exploitatiekosten;€ 4,000.00;;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00
BP2014_2019-1/1.2.1.1/0701-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.2.1.1;0701-00;6131002;600;IE-GEEN;Erelonen en vergoedingen consultancy;€ 1,936.00;;;;;
BP2014_2019-1/1.2.3.1/0119-00/2140007/BESTUUR/CBS/600/IE1/U;1.2.3.1;0119-00;2140007;600;IE1;studiekosten nieuw gemeentehuis;€ 120,319.59;€ 262,683.42;;;;
BP2014_2019-1/1.2.3.1/0119-00/2210100/BESTUUR/CBS/600/IE1/O;1.2.3.1;0119-00;2210100;600;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;;;€ 2,000,000.00;;;
BP2014_2019-1/1.2.3.1/0119-00/2210107/BESTUUR/CBS/600/IE1/U;1.2.3.1;0119-00;2210107;600;IE1;bouw van het nieuwe gemeentehuis;€ 2,547,294.63;€ 1,910,470.97;;;;
BP2014_2019-1/1.2.3.1/0119-00/2240007/BESTUUR/CBS/600/IE1/U;1.2.3.1;0119-00;2240007;600;IE1;nieuw gemeentehuis: omgevingswerken;;€ 217,800.00;;;;
BP2014_2019-1/1.2.3.1/0119-00/2400000/BESTUUR/CBS/600/IE1/U;1.2.3.1;0119-00;2400000;600;IE1;Meubilair - gemeenschapsgoederen;;€ 200,000.00;;;;
BP2014_2019-1/1.2.3.2/0119-00/2410000/BESTUUR/CBS/600/IE1/U;1.2.3.2;0119-00;2410000;600;IE1;aankopen IT materiaal;€ 41,016.95;€ 200,000.00;€ 43,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00
BP2014_2019-1/1.2.3.3/0600-00/6142999/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.3;0600-00;6142999;600;IE-GEEN;Overige informaticakosten;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.2.3.7/0113-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.7;0113-00;6131002;600;IE-GEEN;Erelonen en vergoedingen consultancy;€ 0.00;€ 3,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00
BP2014_2019-1/1.2.3.7/0113-00/6141001/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.7;0113-00;6141001;600;IE-GEEN;Kantoorbenodigdheden;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.3.8/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.8;0160-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00
BP2014_2019-1/1.2.4.1/0721-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.2.4.1;0721-00;6493000;800;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;€ 3,900.00;€ 3,900.00;€ 3,900.00;€ 3,900.00;€ 3,900.00;€ 3,900.00
BP2014_2019-1/1.2.4.2/0729-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.2.4.2;0729-00;6493000;800;IE-GEEN;Erfgoedplus;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.2.4.3/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.2.4.3;0160-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00
BP2014_2019-1/1.2.5.1/0100-00/6150010/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.1;0100-00;6150010;600;IE-GEEN;Kosten van opleiding en bijscholing;€ 500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00
BP2014_2019-1/1.2.5.1/0110-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0110-00;6150010;500;IE-GEEN;Opleidingskosten;€ 100.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.5.1/0111-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0111-00;6150010;500;IE-GEEN;Opleidingskosten;€ 2,600.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.5.1/0112-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0112-00;6150010;500;IE-GEEN;Opleidingskosten;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00
BP2014_2019-1/1.2.5.1/0119-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0119-00;6150010;500;IE-GEEN;Opleidingskosten;€ 2,500.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00
BP2014_2019-1/1.2.5.1/0130-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0130-00;6150010;500;IE-GEEN;Opleidingskosten;€ 600.00;€ 600.00;€ 600.00;€ 600.00;€ 600.00;€ 600.00
BP2014_2019-1/1.2.5.1/0160-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0160-00;6150010;500;IE-GEEN;Opleidingskosten;€ 75.00;€ 75.00;€ 75.00;€ 75.00;€ 75.00;€ 75.00
BP2014_2019-1/1.2.5.1/0200-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0200-00;6150010;500;IE-GEEN;Opleidingskosten;€ 450.00;€ 1,950.00;€ 1,950.00;€ 1,950.00;€ 1,950.00;€ 1,950.00
BP2014_2019-1/1.2.5.1/0309-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0309-00;6150010;500;IE-GEEN;Opleidingskosten;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00
BP2014_2019-1/1.2.5.1/0390-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0390-00;6150010;500;IE-GEEN;Opleidingskosten;€ 2,200.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.5.1/0520-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0520-00;6150010;500;IE-GEEN;Opleidingskosten;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00
BP2014_2019-1/1.2.5.1/0600-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0600-00;6150010;500;IE-GEEN;Opleidingskosten;€ 1,050.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.5.1/0680-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0680-00;6150010;500;IE-GEEN;Opleidingskosten;€ 650.00;€ 1,650.00;€ 1,650.00;€ 1,650.00;€ 1,650.00;€ 1,650.00
BP2014_2019-1/1.2.5.1/0701-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0701-00;6150010;500;IE-GEEN;Opleidingskosten;€ 1,550.00;€ 1,800.00;€ 1,800.00;€ 1,800.00;€ 1,800.00;€ 1,800.00
BP2014_2019-1/1.2.5.1/0703-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0703-00;6150010;500;IE-GEEN;Opleidingskosten;€ 900.00;€ 900.00;€ 900.00;€ 900.00;€ 900.00;€ 900.00
BP2014_2019-1/1.2.5.1/0740-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0740-00;6150010;500;IE-GEEN;Opleidingskosten;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00
BP2014_2019-1/1.2.5.1/0750-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0750-00;6150010;500;IE-GEEN;Opleidingskosten;€ 250.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00
BP2014_2019-1/1.2.5.1/0800-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;0800-00;6150010;500;IE-GEEN;Opleidingskosten;€ 400.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/1.2.5.1/0800-01/6150010/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.1;0800-01;6150010;600;IE-GEEN;Opleidingskosten;€ 585.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00
BP2014_2019-1/1.2.5.1/0800-02/6150010/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.1;0800-02;6150010;600;IE-GEEN;Opleidingskosten;€ 2,232.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00
BP2014_2019-1/1.2.5.3/0119-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.3;0119-00;6131002;600;IE-GEEN;Erelonen en vergoedingen consultancy;€ 8,584.95;€ 17,545.00;;;;
BP2014_2019-1/2.1.1.1/0909-00/6494000/BESTUUR/CBS/420/IE-GEEN/U;2.1.1.1;0909-00;6494000;420;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;€ 799,416.15;€ 917,523.45;€ 927,129.72;€ 953,644.22;€ 985,377.10;€ 1,007,216.94
BP2014_2019-1/2.1.1.2/0909-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;2.1.1.2;0909-00;6493000;800;IE-GEEN;Toelagen welzijnsorganisaties;€ 10,000.00;€ 10,000.00;€ 10,000.00;€ 10,000.00;€ 10,000.00;€ 10,000.00
BP2014_2019-1/2.1.2.6/0740-00/6139999/BESTUUR/CBS/500/IE-GEEN/U;2.1.2.6;0740-00;6139999;500;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 30.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00
BP2014_2019-1/2.1.2.6/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.1.2.6;0740-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 1,000.00;€ 900.00;€ 900.00;€ 900.00;€ 900.00;€ 900.00
BP2014_2019-1/2.2.1.1/0740-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.1;0740-00;6139999;600;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00
BP2014_2019-1/2.2.1.1/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.1;0740-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/2.2.1.3/0740-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.3;0740-00;6139999;600;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 700.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00
BP2014_2019-1/2.2.1.3/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.3;0740-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 0.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00
BP2014_2019-1/2.2.1.4/0959-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.4;0959-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/2.2.1.7/0703-00/6131006/BESTUUR/CBS/500/IE-GEEN/U;2.2.1.7;0703-00;6131006;500;IE-GEEN;Erelonen en vergoedingen voor optredens, lesgevers, gidsen, tolken, e.d.;€ 0.00;;;;;
BP2014_2019-1/2.2.1.7/0703-00/6139999/BESTUUR/CBS/500/IE-GEEN/U;2.2.1.7;0703-00;6139999;500;IE-GEEN;PWA POB;€ 7,400.00;€ 8,000.00;€ 8,000.00;€ 8,000.00;€ 8,000.00;€ 8,000.00
BP2014_2019-1/2.2.1.7/0703-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;2.2.1.7;0703-00;6139999;600;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 1,500.00;;;;;
BP2014_2019-1/2.2.2.1/0750-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.1;0750-00;6131002;600;IE-GEEN;Erelonen en vergoedingen consultancy;€ 0.00;;;;;
BP2014_2019-1/2.2.2.2/0750-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;2.2.2.2;0750-00;6493000;800;IE-GEEN;Buitenschoolse kinderopvang;€ 14,000.00;€ 14,000.00;€ 14,000.00;€ 14,000.00;€ 14,000.00;€ 14,000.00
BP2014_2019-1/2.2.2.3/0740-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.3;0740-00;6139999;600;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 8,500.00;€ 7,000.00;€ 7,000.00;€ 7,000.00;€ 7,000.00;€ 7,000.00
BP2014_2019-1/2.2.2.3/0740-00/6150200/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.3;0740-00;6150200;600;IE-GEEN;Huur technisch materieel;€ 2,100.00;€ 1,600.00;€ 1,600.00;€ 1,600.00;€ 1,600.00;€ 1,600.00
BP2014_2019-1/2.2.2.3/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.3;0740-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 1,260.00;€ 8,500.00;€ 8,500.00;€ 8,500.00;€ 8,500.00;€ 8,500.00
BP2014_2019-1/2.2.2.3/0740-00/6206000/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.3;0740-00;6206000;500;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 5,240.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00
BP2014_2019-1/2.2.2.4/0701-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.4;0701-00;6159999;600;IE-GEEN;Organisatie evenementen en activiteiten.;€ 10,000.00;€ 8,000.00;€ 8,000.00;€ 8,000.00;€ 8,000.00;€ 8,000.00
BP2014_2019-1/2.2.2.6/0740-00/6139999/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.6;0740-00;6139999;500;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 950.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00
BP2014_2019-1/2.2.2.6/0740-00/6159999/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.6;0740-00;6159999;500;IE-GEEN;Overige exploitatiekosten;€ 13,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00
BP2014_2019-1/2.2.2.6/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.6;0740-00;6159999;600;IE-GEEN;Terugbetaling deelname activiteiten;€ 50.00;€ 700.00;€ 700.00;€ 700.00;€ 700.00;€ 700.00
BP2014_2019-1/2.2.2.6/0740-00/6206000/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.6;0740-00;6206000;500;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 21,000.00;€ 21,215.25;€ 21,432.71;€ 21,652.40;€ 21,874.34;€ 22,098.55
BP2014_2019-1/2.2.2.7/0750-00/6139999/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.7;0750-00;6139999;500;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00
BP2014_2019-1/2.2.2.7/0750-00/6149000/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.7;0750-00;6149000;600;IE-GEEN;Overige administratie- en kantoorkosten;€ 2,200.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00
BP2014_2019-1/2.2.2.7/0750-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.7;0750-00;6159999;600;IE-GEEN;Werkingsuitgaven speelpleinwerking;€ 10,500.00;€ 10,500.00;€ 10,500.00;€ 10,500.00;€ 10,500.00;€ 10,500.00
BP2014_2019-1/2.2.2.7/0750-00/6206000/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.7;0750-00;6206000;500;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 10,400.00;€ 11,660.00;€ 11,951.50;€ 12,250.29;€ 12,556.54;€ 12,870.46
BP2014_2019-1/2.2.2.7/0750-00/7406999/BESTUUR/CBS/400/IE-GEEN/O;2.2.2.7;0750-00;7406999;400;IE-GEEN;subsidie week van de opvoeding;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00
BP2014_2019-1/2.2.2.8/0750-00/6139999/BESTUUR/CBS/500/IE-GEEN/U;2.2.2.8;0750-00;6139999;500;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00
BP2014_2019-1/2.2.2.8/0750-00/6149000/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.8;0750-00;6149000;600;IE-GEEN;Overige administratie- en kantoorkosten;€ 2,700.00;€ 4,700.00;€ 4,700.00;€ 4,700.00;€ 4,700.00;€ 4,700.00
BP2014_2019-1/2.2.2.8/0750-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.8;0750-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 2,000.00;;;;;
BP2014_2019-1/2.2.3.1/0701-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.1;0701-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 1,000.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00
BP2014_2019-1/2.2.3.2/0911-00/6499000/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.2;0911-00;6499000;600;IE-GEEN;Arbeidszorgproject;€ 24,000.00;€ 24,000.00;€ 24,000.00;€ 24,000.00;€ 24,000.00;€ 24,000.00
BP2014_2019-1/2.2.3.4/0740-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.4;0740-00;6139999;600;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;;€ 300.00;;€ 300.00;;€ 300.00
BP2014_2019-1/2.2.3.4/0740-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.4;0740-00;6159999;600;IE-GEEN;Overige exploitatiekosten;;€ 1,200.00;;€ 1,200.00;;€ 1,200.00
BP2014_2019-1/2.2.3.5/0701-00/6400001/BESTUUR/CBS/100/IE-GEEN/U;2.2.3.5;0701-00;6400001;100;IE-GEEN;Roerende voorheffing;€ 3,500.00;€ 3,570.00;€ 3,641.40;€ 3,714.23;€ 3,788.51;€ 3,864.28
BP2014_2019-1/2.2.3.5/0710-00/6430100/BESTUUR/CBS/500/IE-GEEN/U;2.2.3.5;0710-00;6430100;500;IE-GEEN;Tussenkomst in exploitatiekosten;€ 4,250.00;€ 4,250.00;€ 4,250.00;€ 4,250.00;€ 4,250.00;€ 4,250.00
BP2014_2019-1/2.2.3.6/0701-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;2.2.3.6;0701-00;6141007;700;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);€ 3.00;€ 3.00;€ 3.00;€ 3.00;€ 3.00;€ 3.00
BP2014_2019-1/2.2.3.6/0701-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.6;0701-00;6159999;600;IE-GEEN;Initiatieven i.h.k.van gtelijk cultuurbeleidsplan;€ 6,500.00;€ 7,000.00;€ 6,500.00;€ 7,000.00;€ 6,500.00;€ 8,000.00
BP2014_2019-1/2.2.3.6/0701-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;2.2.3.6;0701-00;6201000;500;IE-GEEN;Bezoldigingen vastbenoemd personeel;€ 95,012.26;€ 125,389.72;€ 128,485.46;€ 131,658.60;€ 134,911.06;€ 138,244.84
BP2014_2019-1/2.2.3.6/0701-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;2.2.3.6;0701-00;6211000;500;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;€ 28,234.40;€ 24,350.26;€ 25,073.77;€ 25,815.36;€ 26,575.49;€ 27,354.36
BP2014_2019-1/2.2.3.6/0701-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;2.2.3.6;0701-00;6211001;500;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;€ 18,066.18;€ 15,818.83;€ 16,570.38;€ 17,156.59;€ 17,760.39;€ 18,382.30
