Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Aangerekend 2016 tot nu;Nog beschikbaar;Verschil AR 2016-AR2015;Verschil % AR 2016-AR2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0944-00;Opvoedingsondersteuning;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;250;-   ;250;-250;-100,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0959-00;Overige verrichtingen betreffende ouderen;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;250;-   ;250;-250;-100,00 %;;;;;
1.1.2.2;Organiseren driejaarlijkse dorpsvergaderingen over het meerjarenbeleid;0190-00;Overig algemeen bestuur;U;6159999;Overige exploitatiekosten;IE-GEEN;50;-   ;-   ;50;-   ;-;;;;;
1.1.2.3;Organiseren van inspraakavonden over belangrijke projecten en plannen;0190-00;Overig algemeen bestuur;U;6159999;Overige exploitatiekosten;IE-GEEN;50;-   ;-   ;50;-   ;-;;;;;
1.1.2.5;Verbreden en verdiepen van het draagvlak voor internationale samenwerking;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;10000;10606,27;7382,9;2617,1;-3223,37;-30,39 %;;;;;
1.1.2.5;Verbreden en verdiepen van het draagvlak voor internationale samenwerking;0800-00;Gewoon basisonderwijs;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;-0,01;-   ;-   ;0,01;-100,00 %;;;;;
1.2.1.1;Voeren van tevredenheidsonderzoeken;0701-00;Cultuurcentrum;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;Overige algemene diensten;U;2140007;Plannen en studies - Activa in aanbouw;IE1;171124,77;88042,02;104330,16;66794,61;16288,14;18,50 %;;;;;
1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;Overige algemene diensten;U;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE1;1151943,56;3233972,05;954209,28;197734,28;-2279762,77;-70,49 %;;;;;
1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;Overige algemene diensten;U;2240007;Wegen - Activa in aanbouw;IE1;167800;-   ;90138,5;77661,5;90138,5;-;;;;;
1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;Overige algemene diensten;U;2400000;Meubilair - gemeenschapsgoederen;IE1;245000;-   ;232261,34;12738,66;232261,34;-;;;;;
1.2.3.2;Uniformiseren van de ICT-infrastructuur en optimaliseren van de digitale communicatie;0119-00;Overige algemene diensten;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE1;233108,71;97464,63;114334,28;118774,43;16869,65;17,31 %;;;;;
1.2.3.3;Uitbouw van het GIS-gebeuren binnen de diensten;0600-00;Ruimtelijke planning;U;6142999;Overige informaticakosten;IE-GEEN;-   ;484;-   ;-   ;-484;-100,00 %;;;;;
1.2.3.7;Opmaken van een gemeente-archiefplan;0113-00;Archief;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;2000;-   ;5209,05;-3209,05;5209,05;-;;6200;8200;verhuis archief + update archief 2016;
1.2.3.7;Opmaken van een gemeente-archiefplan;0113-00;Archief;U;6141001;Kantoorbenodigdheden;IE-GEEN;300;-   ;-   ;300;-   ;-;;;;;
1.2.3.8;Integreren van aspecten van internationale solidariteit en duurzaamheid;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;200;-   ;-   ;-200;-100,00 %;;;;;
1.2.4.1;Zoeken naar schaalvoordelen bij inter- en bovengemeentelijke samenwerking;0721-00;Archeologie;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;4000;3955;3982;18;27;0,68 %;;;;;
1.2.4.2;Verder versterken en benutten van netwerken en samenwerkingsverbanden;0729-00;Overig beleid inzake het erfgoed;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;500;-   ;-   ;0,00 %;;;;;
1.2.4.3;Afstemmen van de samenwerking en uitwisseling met de partnergemeente Oña;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;10000;5986,91;1232,1;8767,9;-4754,81;-79,42 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0100-00;Politieke organen;U;6150010;Opleidingskosten;IE-GEEN;1500;1205;-   ;1500;-1205;-100,00 %;;;;;te bekijken bij BW2
1.2.5.1;Stimuleren van vorming en opleiding;0110-00;Secretariaat;U;6150010;Opleidingskosten;IE-GEEN;300;-   ;384;-84;384;-;;84;384;svz;
1.2.5.1;Stimuleren van vorming en opleiding;0111-00;Fiscale en financiële diensten;U;6150010;Opleidingskosten;IE-GEEN;1600;1835,3;441,02;1158,98;-1394,28;-75,97 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0112-00;Personeelsdienst en vorming;U;6150010;Opleidingskosten;IE-GEEN;150;125;-   ;150;-125;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0119-00;Overige algemene diensten;U;6150010;Opleidingskosten;IE-GEEN;1000;375,75;-   ;1000;-375,75;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0130-00;Administratieve dienstverlening;U;6150010;Opleidingskosten;IE-GEEN;600;-   ;1089;-489;1089;-;;1200;1800;svz;
1.2.5.1;Stimuleren van vorming en opleiding;0160-00;Hulp aan het buitenland;U;6150010;Opleidingskosten;IE-GEEN;75;-   ;-   ;75;-   ;-;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0200-00;Wegen;U;6150010;Opleidingskosten;IE-GEEN;8000;2207;-   ;8000;-2207;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0309-00;Overig afval- en materialenbeheer;U;6150010;Opleidingskosten;IE-GEEN;150;95;-   ;150;-95;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0390-00;Overige milieubescherming;U;6150010;Opleidingskosten;IE-GEEN;300;2030;318;-18;-1712;-84,33 %;;200;500;svz;
1.2.5.1;Stimuleren van vorming en opleiding;0520-00;Toerisme - Onthaal en promotie;U;6150010;Opleidingskosten;IE-GEEN;150;48;-   ;150;-48;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0600-00;Ruimtelijke planning;U;6150010;Opleidingskosten;IE-GEEN;300;-   ;-   ;300;-   ;-;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0680-00;Groene ruimte;U;6150010;Opleidingskosten;IE-GEEN;1650;658,2;-   ;1650;-658,2;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0701-00;Cultuurcentrum;U;6150010;Opleidingskosten;IE-GEEN;1500;1262,5;628;872;-634,5;-50,26 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0703-00;Openbare bibliotheken;U;6150010;Opleidingskosten;IE-GEEN;900;180;-   ;900;-180;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0740-00;Sport;U;6150010;Opleidingskosten;IE-GEEN;750;340;190;560;-150;-44,12 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0750-00;Jeugd;U;6150010;Opleidingskosten;IE-GEEN;150;240;220;-70;-20;-8,33 %;;70;220;svz;
1.2.5.1;Stimuleren van vorming en opleiding;0800-00;Gewoon basisonderwijs;U;6150010;Opleidingskosten;IE-GEEN;100;700;-   ;100;-700;-100,00 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0800-01;Kleuteronderwijs;U;6150010;Opleidingskosten;IE-GEEN;750;575;85;665;-490;-85,22 %;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0800-02;Lager onderwijs;U;6150010;Opleidingskosten;IE-GEEN;2000;2416,79;530;1470;-1886,79;-78,07 %;;;;;
1.2.5.3;Opmaken en uitvoeren van een groeiloopbaan- en diversiteitsplan;0119-00;Overige algemene diensten;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;-   ;21780;-   ;-   ;-21780;-100,00 %;;;;;
2.1.1.1;Voorzien van een bijdrage voor het OCMW;0900-00;Sociale bijstand;U;6494000;Toegestane werkingssubsidies aan andere overheidsinstellingen;IE-GEEN;846654,72;814883,76;423327,36;423327,36;-391556,4;-48,05 %;;;;;
2.1.1.1;Voorzien van een bijdrage voor het OCMW;0909-00;Overige verrichtingen inzake sociaal beleid;U;6494000;Toegestane werkingssubsidies aan andere overheidsinstellingen;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.1.1.2;Ondersteunen van welzijnsorganisaties;0909-00;Overige verrichtingen inzake sociaal beleid;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;10000;7738;82,5;9917,5;-7655,5;-98,93 %;;;;;
2.1.1.3;Voeren van gemeenschappelijke campagnes inzake gezondheidspreventie;0985-00;Gezondheidspromotie en ziektepreventie;U;6159999;Overige exploitatiekosten;IE-GEEN;250;-   ;-   ;250;-   ;-;;;;;
2.1.2.6;Samenwerken met OCMW aan het verhogen van de sportparticipatie door kansarmen;0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.1.2.6;Samenwerken met OCMW aan het verhogen van de sportparticipatie door kansarmen;0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;1000;-   ;1000;-   ;1000;-;;1000;2000;factuur 2015 geboekt in 2016;
2.2.1.1;Inrichten en onderhouden van een ruim sportaanbod voor senioren;0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;4500;3893,74;1907,24;2592,76;-1986,5;-51,02 %;;;;;
2.2.1.1;Inrichten en onderhouden van een ruim sportaanbod voor senioren;0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;12,53;-   ;-   ;-12,53;-100,00 %;;;;;
2.2.1.3;Organiseren van sportactiviteiten in WZC D’Eycken Brug voor sedentaire senioren;0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;800;288;-   ;800;-288;-100,00 %;;-500;300;Opm nav rekening 2015: Lesgever is vorige zomer gestopt en tot op heden nog geen gevonden (ook voor 2016 zal dit dus niet opgebruikt worden);
2.2.1.3;Organiseren van sportactiviteiten in WZC D’Eycken Brug voor sedentaire senioren;0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.1.4;Van Bierbeek een dementievriendelijke gemeente maken;0959-00;Overige verrichtingen betreffende ouderen;U;6159999;Overige exploitatiekosten;IE-GEEN;250;-   ;-   ;250;-   ;-;;302;552;Optreden terug naar de eenvoud;
2.2.1.7;Dienstverlening verlenen naar minder mobiele personen;0703-00;Openbare bibliotheken;U;6131006;Erelonen en vergoedingen voor optredens, lesgevers, gidsen, tolken, e.d.;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.1.7;Dienstverlening verlenen naar minder mobiele personen;0703-00;Openbare bibliotheken;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;9000;7234,24;4462;4538;-2772,24;-38,32 %;;;;;
2.2.2.1;Voeren van een behoefteonderzoek inzake kinderopvang;0750-00;Jeugd;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;1000;-   ;-   ;1000;-   ;-;;;;;
2.2.2.2;Voorzien van subsidies voor kinderopvanginitiatieven;0750-00;Jeugd;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;14000;12578,28;5305,72;8694,28;-7272,56;-57,82 %;;;;;
2.2.2.2;Voorzien van subsidies voor kinderopvanginitiatieven;0750-00;Jeugd;U;6640000;Toegestane investeringssubsidies;IE6;1200;-   ;-   ;1200;-   ;-;;;;;
2.2.2.3;Organiseren van kleutersportinitiatieven (bv. bewegingsschool);0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;5000;4056,72;1271,26;3728,74;-2785,46;-68,66 %;;;;;
2.2.2.3;Organiseren van kleutersportinitiatieven (bv. bewegingsschool);0740-00;Sport;U;6150200;Huur technisch materieel;IE-GEEN;2000;2521;1694;306;-827;-32,80 %;;;;;
2.2.2.3;Organiseren van kleutersportinitiatieven (bv. bewegingsschool);0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;2000;1657,87;941,2;1058,8;-716,67;-43,23 %;;;;;
2.2.2.3;Organiseren van kleutersportinitiatieven (bv. bewegingsschool);0740-00;Sport;U;6206000;Bezoldigingen ander niet vastbenoemd personeel;IE-GEEN;7000;5947,68;2709,34;4290,66;-3238,34;-54,45 %;;;;;
2.2.2.4;Organiseren van een sport- en cultuurdag voor jonge gezinnen;0701-00;Cultuurcentrum;U;6159999;Overige exploitatiekosten;IE-GEEN;8000;6641,61;-   ;8000;-6641,61;-100,00 %;;;;;
2.2.2.6;Jaarlijks organiseren van diverse sportkampen voor schoolgaande jeugd;0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;1000;360;60;940;-300;-83,33 %;;-600;400;Minder vrijwilligers op sportkampen, maar meer professionelen. ;idem
2.2.2.6;Jaarlijks organiseren van diverse sportkampen voor schoolgaande jeugd;0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;13700;9392,48;5906,89;7793,11;-3485,59;-37,11 %;;;;;
2.2.2.6;Jaarlijks organiseren van diverse sportkampen voor schoolgaande jeugd;0740-00;Sport;U;6206000;Bezoldigingen ander niet vastbenoemd personeel;IE-GEEN;20000;17644,36;12452,1;7547,9;-5192,26;-29,43 %;;-2000;18000;marge 150kinderen SW augustus (dus extra monitoren) niet nodig;
2.2.2.6;Jaarlijks organiseren van diverse sportkampen voor schoolgaande jeugd;0740-00;Sport;U;6216000;Werkgeversbijdragen voor ander niet-vastbenoemd personeel;IE-GEEN;-   ;-   ;334,1;-334,1;334,1;-;;334,1;334,1;Monitoren regul. 2015( 444.1+2 SARA HAGENS) - 2015 Q3;
2.2.2.7;Organiseren van kampen tijdens de vakantieperiodes;0750-00;Jeugd;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;4800;4878,85;1169,19;3630,81;-3709,66;-76,04 %;;;;;
2.2.2.7;Organiseren van kampen tijdens de vakantieperiodes;0750-00;Jeugd;U;6149000;Overige administratie- en kantoorkosten;IE-GEEN;2000;1211,65;1238,93;761,07;27,28;2,25 %;;;;;
2.2.2.7;Organiseren van kampen tijdens de vakantieperiodes;0750-00;Jeugd;U;6159999;Overige exploitatiekosten;IE-GEEN;10000;6828,16;2776,33;7223,67;-4051,83;-59,34 %;;;;;
2.2.2.7;Organiseren van kampen tijdens de vakantieperiodes;0750-00;Jeugd;U;6206000;Bezoldigingen ander niet vastbenoemd personeel;IE-GEEN;8000;7497,49;2211,76;5788,24;-5285,73;-70,50 %;;;;;
2.2.2.8;Organiseren van activiteiten voor kinderen en jongeren, met aandacht voor jeugdcultuur;0750-00;Jeugd;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;1500;1180;750;750;-430;-36,44 %;;;;;
2.2.2.8;Organiseren van activiteiten voor kinderen en jongeren, met aandacht voor jeugdcultuur;0750-00;Jeugd;U;6149000;Overige administratie- en kantoorkosten;IE-GEEN;-   ;4599,62;-   ;-   ;-4599,62;-100,00 %;;;;;
2.2.2.8;Organiseren van activiteiten voor kinderen en jongeren, met aandacht voor jeugdcultuur;0750-00;Jeugd;U;6159999;Overige exploitatiekosten;IE-GEEN;4700;-   ;3401,71;1298,29;3401,71;-;;;;;
2.2.3.1;Vormen van vrijwilligers;0701-00;Cultuurcentrum;U;6159999;Overige exploitatiekosten;IE-GEEN;500;-   ;-   ;500;-   ;-;;;;;
2.2.3.2;Opzetten van sociale (her-)tewerkstellingsprojecten;0911-00;Diensten en voorzieningen voor personen met een handicap;U;6499000;Samenwerkingsovereenkomsten;IE-GEEN;25800;16400,24;12958,62;12841,38;-3441,62;-20,99 %;;;;;
2.2.3.4;Organiseren van een sportdag voor personen met een mentale beperking;0740-00;Sport;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;-   ;314,72;-   ;-   ;-314,72;-100,00 %;;;;;
2.2.3.4;Organiseren van een sportdag voor personen met een mentale beperking;0740-00;Sport;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;242,5;-   ;-   ;-242,5;-100,00 %;;;;;
2.2.3.5;Ondersteunen van buurtfeesten en verbondenheidsversterkende intiatieven;0701-00;Cultuurcentrum;U;6400001;Roerende voorheffing;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.3.5;Ondersteunen van buurtfeesten en verbondenheidsversterkende intiatieven;0710-00;Feesten en plechtigheden;U;6430100;Tussenkomst in exploitatiekosten;IE-GEEN;4500;4750;2900;1600;-1850;-38,95 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0190-00;Overig algemeen bestuur;U;6143005;Reis- en verblijfkosten (Dienstverplaatsing);IE-GEEN;-   ;31,8;19,6;-19,6;-12,2;-38,36 %;;100;100;;idem
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6141007;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6159999;Overige exploitatiekosten;IE-GEEN;6500;4800,89;623,11;5876,89;-4177,78;-87,02 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6201000;Bezoldigingen vastbenoemd personeel;IE-GEEN;122742,56;119551,84;78078,89;44663,67;-41472,95;-34,69 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6201100;Vakantiegeld vastbenoemd personeel;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6211000;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;IE-GEEN;54646,26;48784,92;32369,45;22276,81;-16415,47;-33,65 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6211001;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6221100;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;IE-GEEN;844,6;536,8;811,8;32,8;275;51,23 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6223100;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;IE-GEEN;-   ;176;-   ;-   ;-176;-100,00 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6230001;Kosten voor verplaatsingen van en naar het werk;IE-GEEN;300;533,45;584,76;-284,76;51,31;9,62 %;;500;800;;idem
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6231004;Maaltijdcheques;IE-GEEN;2700;3815;2135;565;-1680;-44,04 %;;1300;4000;Vaststelling bij rekening 2015;idem
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;U;6496000;Tussenkomst in de vakbondspremies;IE-GEEN;146,84;139,65;-   ;146,84;-139,65;-100,00 %;;-146,84;-   ;Correctie JBR 6231003 ipv 6496000;idem
2.2.3.7;Evalueren en uitbouwen van buurtcontacten;0701-00;Cultuurcentrum;U;6143001;Representatie- en receptiekosten & kosten onthaal;IE-GEEN;-   ;153,4;-   ;-   ;-153,4;-100,00 %;;;;;
2.2.3.7;Evalueren en uitbouwen van buurtcontacten;0701-00;Cultuurcentrum;U;6159999;Overige exploitatiekosten;IE-GEEN;200;-   ;175,5;24,5;175,5;-;;;;;
3.1.1.4;Ondersteunen van de realisatie van ‘Mevrouwkensveld’;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE2;4052,19;947,81;-   ;4052,19;-947,81;-100,00 %;;;;;
3.1.1.4;Ondersteunen van de realisatie van ‘Mevrouwkensveld’;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE2;100000;-   ;-   ;100000;-   ;-;;;;;
3.1.1.4;Ondersteunen van de realisatie van ‘Mevrouwkensveld’;0341-00;Erosiebestrijding;U;2140007;Plannen en studies - Activa in aanbouw;IE2;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.1.1.5;Ondersteunen van de realisatie van ‘De Wip’;0610-00;Gebiedsontwikkeling;U;2240007;Wegen - Activa in aanbouw;IE2;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.1.2.1;Informeren over reglementeringen, subsidies, financiële voordelen bij verbouw- of bouwwerken;0629-00;Overig woonbeleid;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;5000;-   ;-   ;5000;-   ;-;;;;;
3.1.2.1;Informeren over reglementeringen, subsidies, financiële voordelen bij verbouw- of bouwwerken;0629-00;Overig woonbeleid;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;40492,23;30282;11325,37;29166,86;-18956,63;-62,60 %;;;;;
3.1.2.2;Geven van gratis planadvies voor bouwers en verbouwers;0350-00;Klimaat en energie;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;500;325;100;400;-225;-69,23 %;;;;;
3.1.2.3;Stimuleren van maatregelen voor duurzaam bouwen en wonen;0310-00;Beheer van regen- en afvalwater;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.1.2.3;Stimuleren van maatregelen voor duurzaam bouwen en wonen;0350-00;Klimaat en energie;U;6159999;Overige exploitatiekosten;IE-GEEN;500;-   ;-   ;500;-   ;-;;;;;
3.1.2.3;Stimuleren van maatregelen voor duurzaam bouwen en wonen;0350-00;Klimaat en energie;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;17000;5093,5;6927,32;10072,68;1833,82;36,00 %;;;;;
3.1.3.2;Stimuleren van levenslang wonen en zorgwonen;0629-00;Overig woonbeleid;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;6500;6255,56;2676,24;3823,76;-3579,32;-57,22 %;;;;;
3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE3;28129,19;21870,81;18797,16;9332,03;-3073,65;-14,05 %;;;;;
3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
