Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;2016;2017;2018;2019;2020;2021
BP2014_2021-3/1.1.2.3/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.3;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;50;50;50;50;50;50
BP2014_2021-3/1.1.2.5/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 10.000,00;€ 12.000,00;€ 12.000,00;€ 12.000,00;€ 12.000,00;€ 12.000,00
BP2014_2021-3/1.1.2.5/0800-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0800-00;6159999;IE-GEEN;Scholenband;0;0;0;0;;
BP2014_2021-3/1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2140007;IE1;Plannen en studies - Activa in aanbouw;€ 121.124,77;€ 13.000,00;;;;
BP2014_2021-3/1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2210100;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;€ 1.275.000,00;€ 645.000,00;;;;
BP2014_2021-3/1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2210107;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;€ 954.209,28;€ 172.734,28;;;;
BP2014_2021-3/1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2240007;IE1;Wegen - Activa in aanbouw;€ 197.800,00;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2400000;IE1;Overdracht krediet van 2015 naar 2016;€ 273.000,00;€ 4.000,00;;;;
BP2014_2021-3/1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;0119-00;2410000;IE1;aankopen IT materiaal;€ 179.508,71;€ 56.100,00;€ 10.000,00;€ 63.000,00;€ 26.000,00;€ 100.000,00
BP2014_2021-3/1.2.3.3/0600-00/6142999/BESTUUR/CBS/IE-GEEN/U;1.2.3.3;0600-00;6142999;IE-GEEN;Overige informaticakosten;0;0;0;0;;
BP2014_2021-3/1.2.3.7/0113-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;€ 8.637,95;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/1.2.3.7/0113-00/6141001/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6141001;IE-GEEN;Kantoorbenodigdheden;300;300;300;300;200;200
BP2014_2021-3/1.2.3.8/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.3.8;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/1.2.4.1/0721-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00
BP2014_2021-3/1.2.4.2/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;500;500;500;500;500;500
BP2014_2021-3/1.2.4.3/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.4.3;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 10.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00
BP2014_2021-3/1.2.5.1/0100-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0100-00;6150010;IE-GEEN;Kosten van opleiding en bijscholing;€ 1.000,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00
BP2014_2021-3/1.2.5.1/0110-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0110-00;6150010;IE-GEEN;Opleidingskosten;384;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0111-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0111-00;6150010;IE-GEEN;Opleidingskosten;€ 1.300,00;€ 1.600,00;€ 1.600,00;€ 1.600,00;€ 1.600,00;€ 1.600,00
BP2014_2021-3/1.2.5.1/0112-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0112-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0119-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0119-00;6150010;IE-GEEN;Opleidingskosten;700;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/1.2.5.1/0130-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0130-00;6150010;IE-GEEN;Opleidingskosten;€ 1.800,00;600;600;600;600;600
BP2014_2021-3/1.2.5.1/0160-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0160-00;6150010;IE-GEEN;Opleidingskosten;75;75;75;75;75;75
BP2014_2021-3/1.2.5.1/0200-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0200-00;6150010;IE-GEEN;Opleidingskosten;€ 8.800,00;€ 5.000,00;€ 5.000,00;€ 5.000,00;€ 5.000,00;€ 5.000,00
BP2014_2021-3/1.2.5.1/0309-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0309-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0390-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0390-00;6150010;IE-GEEN;Opleidingskosten;500;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0520-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0520-00;6150010;IE-GEEN;Opleidingskosten;0;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0600-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0600-00;6150010;IE-GEEN;Opleidingskosten;300;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0680-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0680-00;6150010;IE-GEEN;Opleidingskosten;€ 1.650,00;€ 1.650,00;€ 1.650,00;€ 1.650,00;€ 1.650,00;€ 1.650,00
BP2014_2021-3/1.2.5.1/0701-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0701-00;6150010;IE-GEEN;Opleidingskosten;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00
BP2014_2021-3/1.2.5.1/0703-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0703-00;6150010;IE-GEEN;Opleidingskosten;600;900;900;900;900;900
BP2014_2021-3/1.2.5.1/0740-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0740-00;6150010;IE-GEEN;Opleidingskosten;750;750;750;750;750;750
BP2014_2021-3/1.2.5.1/0750-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0750-00;6150010;IE-GEEN;Opleidingskosten;220;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0800-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-00;6150010;IE-GEEN;Opleidingskosten;350;100;100;100;100;100
BP2014_2021-3/1.2.5.1/0800-01/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-01;6150010;IE-GEEN;Opleidingskosten;750;750;750;750;750;750
BP2014_2021-3/1.2.5.1/0800-02/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-02;6150010;IE-GEEN;Opleidingskosten;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/2.1.1.1/0900-00/6494000/BESTUUR/CBS/IE-GEEN/U;2.1.1.1;0900-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;€ 763.419,32;€ 894.302,37;€ 960.377,10;€ 982.216,94;€ 1.001.861,28;€ 1.021.898,50
BP2014_2021-3/2.1.1.2/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00
BP2014_2021-3/2.1.1.3/0985-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.1.3;0985-00;6159999;IE-GEEN;Overige exploitatiekosten;250;350;;;;
BP2014_2021-3/2.1.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;0;0;0;0;;
BP2014_2021-3/2.1.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/2.2.1.1/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00
BP2014_2021-3/2.2.1.1/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/2.2.1.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;300;800;800;800;800;800
BP2014_2021-3/2.2.1.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/2.2.1.4/0959-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.4;0959-00;6159999;IE-GEEN;Overige exploitatiekosten;552;500;250;250;250;250
BP2014_2021-3/2.2.1.7/0703-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.7;0703-00;6139999;IE-GEEN;PWA POB;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00
BP2014_2021-3/2.2.2.1/0750-00/6131002/BESTUUR/CBS/IE-GEEN/U;2.2.2.1;0750-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;€ 1.000,00;€ 1.000,00;;;;
BP2014_2021-3/2.2.2.2/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;€ 16.752,60;€ 14.000,00;€ 14.000,00;€ 14.000,00;€ 14.000,00;€ 14.000,00
BP2014_2021-3/2.2.2.2/0750-00/6640000/BESTUUR/CBS/IE6/U;2.2.2.2;0750-00;6640000;IE6;Overdracht krediet van 2015 naar 2016;0;;;;;
BP2014_2021-3/2.2.2.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00
BP2014_2021-3/2.2.2.3/0740-00/6150200/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6150200;IE-GEEN;Huur technisch materieel;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/2.2.2.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/2.2.2.3/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 7.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00
BP2014_2021-3/2.2.2.4/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6159999;IE-GEEN;Organisatie evenementen en activiteiten.;€ 6.600,00;€ 6.600,00;€ 6.600,00;€ 6.600,00;€ 6.600,00;€ 6.600,00
BP2014_2021-3/2.2.2.4/0701-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;400;400;400;400;400;400
BP2014_2021-3/2.2.2.4/0701-00/7010003/BESTUUR/CBS/IE-GEEN/O;2.2.2.4;0701-00;7010003;IE-GEEN;Toegangsgelden;€ 1.918,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/2.2.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;400;500;500;500;500;500
BP2014_2021-3/2.2.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 12.500,00;€ 12.000,00;€ 12.000,00;€ 12.000,00;€ 12.000,00;€ 12.000,00
BP2014_2021-3/2.2.2.6/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 18.013,76;€ 20.000,00;€ 20.000,00;€ 20.000,00;€ 20.000,00;€ 20.000,00
BP2014_2021-3/2.2.2.6/0740-00/6216000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6216000;IE-GEEN;Werkgeversbijdragen voor ander niet-vastbenoemd personeel;334.1;;;;;
BP2014_2021-3/2.2.2.6/0740-00/7005002/BESTUUR/CBS/IE-GEEN/O;2.2.2.6;0740-00;7005002;IE-GEEN;Inkomsten drank;800;800;800;800;800;800
BP2014_2021-3/2.2.2.7/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4.800,00;€ 4.800,00;€ 4.800,00;€ 4.800,00;€ 4.800,00;€ 4.800,00
BP2014_2021-3/2.2.2.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/2.2.2.7/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6159999;IE-GEEN;Werkingsuitgaven speelpleinwerking;€ 10.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00;€ 9.000,00
BP2014_2021-3/2.2.2.7/0750-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 8.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00;€ 8.000,00
BP2014_2021-3/2.2.2.7/0750-00/7406999/BESTUUR/CBS/IE-GEEN/O;2.2.2.7;0750-00;7406999;IE-GEEN;subsidie week van de opvoeding;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/2.2.2.8/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00
BP2014_2021-3/2.2.2.8/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;0;0;0;0;;
BP2014_2021-3/2.2.2.8/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00
BP2014_2021-3/2.2.3.1/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.1;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;500;500;500;500;500;500
BP2014_2021-3/2.2.3.2/0911-00/6499000/BESTUUR/CBS/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Arbeidszorgproject;€ 25.800,00;€ 26.100,00;€ 26.300,00;€ 26.600,00;€ 26.600,00;€ 26.600,00
BP2014_2021-3/2.2.3.4/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;;0;300;0;300;
BP2014_2021-3/2.2.3.4/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;;0;€ 1.200,00;0;€ 1.200,00;
BP2014_2021-3/2.2.3.5/0701-00/6400001/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0701-00;6400001;IE-GEEN;Roerende voorheffing;0;0;0;0;;
BP2014_2021-3/2.2.3.5/0710-00/6430100/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0710-00;6430100;IE-GEEN;Tussenkomst in exploitatiekosten;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00;€ 4.500,00
BP2014_2021-3/2.2.3.6/0190-00/6143005/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0190-00;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing);100;100;100;100;100;100
BP2014_2021-3/2.2.3.6/0701-00/6141007/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);0;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6159999;IE-GEEN;Initiatieven i.h.k.van gtelijk cultuurbeleidsplan;€ 6.500,00;€ 6.500,00;€ 15.000,00;€ 15.000,00;€ 15.000,00;€ 15.000,00
BP2014_2021-3/2.2.3.6/0701-00/6201000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;€ 119.742,56;€ 122.811,13;€ 124.956,41;€ 128.180,32;€ 131.140,68;€ 134.419,20
BP2014_2021-3/2.2.3.6/0701-00/6211000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;€ 49.646,26;€ 50.512,41;€ 51.692,79;€ 53.135,11;€ 54.171,54;€ 55.525,82
BP2014_2021-3/2.2.3.6/0701-00/6211001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;0;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/6221100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;844.6;861.49;878.72;896.29;896.29;896.29
BP2014_2021-3/2.2.3.6/0701-00/6230001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk;€ 1.000,00;800;800;800;800;800
BP2014_2021-3/2.2.3.6/0701-00/6231003/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231003;IE-GEEN;Vakbondspremies;146.84;148.29;149.77000000000001;151.26;151.26;151.26
BP2014_2021-3/2.2.3.6/0701-00/6231004/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231004;IE-GEEN;Maaltijdcheques;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00;€ 4.000,00
BP2014_2021-3/2.2.3.6/0701-00/6496000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/7470000/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7470000;IE-GEEN;Werknemersinhouding maaltijdcheques;500;600;600;600;600;600
BP2014_2021-3/2.2.3.7/0701-00/6143001/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal;0;0;0;0;;
BP2014_2021-3/2.2.3.7/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;200;200;200;200;200;200
BP2014_2021-3/3.1.1.4/0200-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2140007;IE2;Studiekosten andeel wegenis Mevrouwkesveld;710.86;€ 3.341,33;;;;
BP2014_2021-3/3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2240007;IE2;Aandeel wegenis Mevrouwkesveld;0;€ 50.000,00;;;;
BP2014_2021-3/3.1.1.5/0610-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.5;0610-00;2240007;IE2;Woonproject De Wip;0;;;;;
BP2014_2021-3/3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;0620-00;2200000;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;€ 250.000,00;;;;
BP2014_2021-3/3.1.2.1/0629-00/6139999/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;0;€ 5.000,00;€ 5.000,00;€ 5.000,00;;
BP2014_2021-3/3.1.2.1/0629-00/6493000/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Project lokaal woonbeleid;€ 40.492,23;€ 33.000,00;€ 34.320,00;€ 35.640,00;€ 40.000,00;€ 40.000,00
BP2014_2021-3/3.1.2.2/0350-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.2;0350-00;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;500;500;500;500;500;500
BP2014_2021-3/3.1.2.3/0310-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0310-00;6491000;IE-GEEN;Sanering stookolietanks;0;0;0;0;;
