Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;Bedrag (Bj+0);Bedrag (Bj+1);Bedrag (Bj+2);Bedrag (Bj+3);Bedrag (Bj+4);Bedrag (Bj+5)
BP2014_2021-3/2.2.2.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;2000;2000;2000;2000;2000;2000
BP2014_2021-3/2.2.2.3/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;7000;9000;9000;9000;9000;9000
BP2014_2021-3/2.2.2.4/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6159999;IE-GEEN;Organisatie evenementen en activiteiten.;6600;6600;6600;6600;6600;6600
BP2014_2021-3/2.2.2.4/0701-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;400;400;400;400;400;400
BP2014_2021-3/2.2.2.4/0701-00/7010003/BESTUUR/CBS/IE-GEEN/O;2.2.2.4;0701-00;7010003;IE-GEEN;Toegangsgelden;1918;2000;2000;2000;2000;2000
BP2014_2021-3/2.2.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;400;500;500;500;500;500
BP2014_2021-3/2.2.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;12500;12000;12000;12000;12000;12000
BP2014_2021-3/2.2.2.6/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;18013.759999999998;20000;20000;20000;20000;20000
BP2014_2021-3/2.2.2.6/0740-00/6216000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6216000;IE-GEEN;Werkgeversbijdragen voor ander niet-vastbenoemd personeel;334.1;;;;;
BP2014_2021-3/2.2.2.6/0740-00/7005002/BESTUUR/CBS/IE-GEEN/O;2.2.2.6;0740-00;7005002;IE-GEEN;Inkomsten drank;800;800;800;800;800;800
BP2014_2021-3/2.2.2.7/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;4800;4800;4800;4800;4800;4800
BP2014_2021-3/2.2.2.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;2000;2000;2000;2000;2000;2000
BP2014_2021-3/2.2.2.7/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6159999;IE-GEEN;Werkingsuitgaven speelpleinwerking;10000;9000;9000;9000;9000;9000
BP2014_2021-3/2.2.2.7/0750-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;8741.5;8000;8000;8000;8000;8000
BP2014_2021-3/2.2.2.7/0750-00/7406999/BESTUUR/CBS/IE-GEEN/O;2.2.2.7;0750-00;7406999;IE-GEEN;subsidie week van de opvoeding;1000;1000;1000;1000;1000;1000
BP2014_2021-3/2.2.2.8/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;1500;1500;1500;1500;1500;1500
BP2014_2021-3/2.2.2.8/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;0;0;0;0;;
BP2014_2021-3/2.2.2.8/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6159999;IE-GEEN;Overige exploitatiekosten;4500;4500;4500;4500;4500;4500
BP2014_2021-3/2.2.3.1/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.1;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;500;500;500;500;500;500
BP2014_2021-3/2.2.3.2/0911-00/6499000/BESTUUR/CBS/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Arbeidszorgproject;25800;26100;26300;26600;26600;26600
BP2014_2021-3/2.2.3.4/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;;0;300;0;300;
BP2014_2021-3/2.2.3.4/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;;0;1200;0;1200;
BP2014_2021-3/2.2.3.5/0701-00/6400001/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0701-00;6400001;IE-GEEN;Roerende voorheffing;0;0;0;0;;
BP2014_2021-3/2.2.3.5/0710-00/6430100/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0710-00;6430100;IE-GEEN;Tussenkomst in exploitatiekosten;4500;4500;4500;4500;4500;4500
BP2014_2021-3/2.2.3.6/0190-00/6143005/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0190-00;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing);100;100;100;100;100;100
BP2014_2021-3/2.2.3.6/0701-00/6141007/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);0;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6159999;IE-GEEN;Initiatieven i.h.k.van gtelijk cultuurbeleidsplan;6500;6500;15000;15000;15000;15000
BP2014_2021-3/2.2.3.6/0701-00/6201000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;119742.56;122811.13;124956.41;128180.32;131140.68;134419.20000000001
BP2014_2021-3/2.2.3.6/0701-00/6211000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;49646.26;50512.41;51692.79;53135.11;54171.54;55525.82
BP2014_2021-3/2.2.3.6/0701-00/6211001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;0;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/6221100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;844.6;861.49;878.72;896.29;896.29;896.29
BP2014_2021-3/2.2.3.6/0701-00/6230001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk;1000;800;800;800;800;800
BP2014_2021-3/2.2.3.6/0701-00/6231003/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231003;IE-GEEN;Vakbondspremies;146.84;148.29;149.77000000000001;151.26;151.26;151.26
BP2014_2021-3/2.2.3.6/0701-00/6231004/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231004;IE-GEEN;Maaltijdcheques;4000;4000;4000;4000;4000;4000
BP2014_2021-3/2.2.3.6/0701-00/6496000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;;0;0;0;;
BP2014_2021-3/2.2.3.6/0701-00/7470000/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7470000;IE-GEEN;Werknemersinhouding maaltijdcheques;500;600;600;600;600;600
BP2014_2021-3/2.2.3.7/0701-00/6143001/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal;0;0;0;0;;
BP2014_2021-3/2.2.3.7/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;200;200;200;200;200;200
BP2014_2021-3/3.1.1.4/0200-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2140007;IE2;Studiekosten andeel wegenis Mevrouwkesveld;710.86;3341.33;;;;
BP2014_2021-3/3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2240007;IE2;Aandeel wegenis Mevrouwkesveld;0;50000;;;;
BP2014_2021-3/3.1.1.5/0610-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.5;0610-00;2240007;IE2;Woonproject De Wip;0;;;;;
BP2014_2021-3/3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;0620-00;2200000;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;250000;;;;
BP2014_2021-3/3.1.2.1/0629-00/6139999/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;0;5000;5000;5000;;
BP2014_2021-3/3.1.2.1/0629-00/6493000/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Project lokaal woonbeleid;40492.230000000003;33000;34320;35640;40000;40000
BP2014_2021-3/3.1.2.2/0350-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.2;0350-00;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;500;500;500;500;500;500
BP2014_2021-3/3.1.2.3/0310-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0310-00;6491000;IE-GEEN;Sanering stookolietanks;0;0;0;0;;
BP2014_2021-3/3.1.2.3/0350-00/6159999/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/3.1.2.3/0350-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6491000;IE-GEEN;Subsidie energiebesparing;17000;24500;24500;24500;24500;24500
BP2014_2021-3/3.1.2.3/0350-00/6499000/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6499000;IE-GEEN;Samenwerkingsovereenkomsten;;25000;;;;
BP2014_2021-3/3.1.3.2/0629-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.3.2;0629-00;6491000;IE-GEEN;Verbeterings- en aanpassingspremie;6500;6500;6500;6500;6500;6500
BP2014_2021-3/3.2.1.1/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.1;0200-00;1500000;IE3;studie- en uitvoeringskosten fietsroute Leuven - Tienen;0;0;;;;
BP2014_2021-3/3.2.1.1/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.1;0200-00;2140007;IE3;Studiekosten en uitvoering fietsroute Leuven-Tienen;18797.16;0;;;;
BP2014_2021-3/3.2.1.1/0200-00/2240000/BESTUUR/CBS/IE3/U;3.2.1.1;0200-00;2240000;IE3;Wegen;;;;;;92500
BP2014_2021-3/3.2.1.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.1;0200-00;2240007;IE3;Wegen - Activa in aanbouw;0;0;;;31534.6;
BP2014_2021-3/3.2.1.2/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.2;0200-00;1500000;IE3;subsidies uitvoering fietspad Tiensesteenweg;;;0;0;;
BP2014_2021-3/3.2.1.2/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.2;0200-00;2240007;IE3;Uitvoering fietspad Tiensesteenweg;;;1638691;;;
BP2014_2021-3/3.2.1.3/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.3;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;0;0;185184.69;;;
BP2014_2021-3/3.2.1.3/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.3;0200-00;2140007;IE3;Plannen en studies - Activa in aanbouw;20039.349999999999;20039.349999999999;20000;;;
BP2014_2021-3/3.2.1.3/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.3;0200-00;2240007;IE3;Uitvoering fietspad Pellenberg;0;175793.22;175793.22;;;
BP2014_2021-3/3.2.1.4/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.4;0200-00;1500000;IE3;subsidie fietspad Lovenjoelsestraat deel 1 & 2 Waversestwg;;225407.03;;;;
BP2014_2021-3/3.2.1.4/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.4;0200-00;2240007;IE3;Uitvoering weg en fietspad Lovenjoelsestraat;;525866.01;;;;
BP2014_2021-3/3.2.1.5/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.5;0200-00;1500000;IE3;studiekost en uitvoering Neervelpse- en Opvelpsestraat;;50000;520114.14;412408;474294.83;720000
