Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;Bedrag (Bj+0);Bedrag (Bj+1);Bedrag (Bj+2);Bedrag (Bj+3);Bedrag (Bj+4);Bedrag (Bj+5)
BP2014_2023-5./1.1.2.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0750-00;6493000;IE-GEEN;Toelage jeugdraad;500;500;500;500;500;500
BP2014_2023-5./1.1.2.1/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0909-00;6493000;IE-GEEN;Toelage Welzijnsraad;250;250;250;250;250;250
BP2014_2023-5./1.1.2.1/0944-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0944-00;6493000;IE-GEEN;Toelage Lokaal Overleg Kinderopvang;250;250;250;250;250;250
BP2014_2023-5./1.1.2.1/0959-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0959-00;6493000;IE-GEEN;* Toelage seniorenraad;250;250;250;250;250;250
BP2014_2023-5./1.1.2.2/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.2;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;;50;50;50;50;50
BP2014_2023-5./1.1.2.3/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.3;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;50;50;50;50;50;50
BP2014_2023-5./1.1.2.5/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;12000;10000;10000;10000;10000;10000
BP2014_2023-5./1.1.2.5/0800-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0800-00;6159999;IE-GEEN;Scholenband;0;;;;;
BP2014_2023-5./1.2.1.1/0703-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.1.1;0703-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;1500;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2140007;IE1;Plannen en studies - Activa in aanbouw;;15039.95;;;;
BP2014_2023-5./1.2.3.1/0119-00/2201000/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2201000;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2210100;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2210107;IE1;Overdracht krediet van 2017 naar 2018;141083.99;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210200/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2210200;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2400000;IE1;Overdracht krediet van 2015 naar 2016;400;12000;;;;
BP2014_2023-5./1.2.3.1/0119-00/2600000/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2600000;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2601000/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2601000;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2610000/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2610000;IE1;Overdracht krediet van 2017 naar 2018;0;;;;;
BP2014_2023-5./1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;0119-00;2410000;IE1;aankopen IT materiaal;25000;86000;40000;120000;10000;10000
BP2014_2023-5./1.2.3.3/0600-00/6142800/BESTUUR/CBS/IE-GEEN/U;1.2.3.3;0600-00;6142800;IE-GEEN;Onderhoudscontracten computermaterieel;3600;3600;3600;3600;3600;3600
BP2014_2023-5./1.2.3.7/0113-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;;2000;2000;2000;2000;2000
BP2014_2023-5./1.2.3.7/0113-00/6141001/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6141001;IE-GEEN;Kantoorbenodigdheden;300;300;200;200;200;200
BP2014_2023-5./1.2.3.8/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.3.8;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;0;;;;;
BP2014_2023-5./1.2.4.1/0721-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;4050;4050;4100;4100;4100;4100
BP2014_2023-5./1.2.4.2/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Erfgoedplus;0;;;;;
BP2014_2023-5./1.2.4.3/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.4.3;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;14000;5000;5000;5000;5000;5000
BP2014_2023-5./1.2.5.1/0100-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0100-00;6150010;IE-GEEN;Kosten van opleiding en bijscholing;1000;1500;1500;1500;1500;1500
BP2014_2023-5./1.2.5.1/0110-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0110-00;6150010;IE-GEEN;Opleidingskosten;300;300;300;300;300;300
BP2014_2023-5./1.2.5.1/0111-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0111-00;6150010;IE-GEEN;Opleidingskosten;1000;1600;1600;1600;1600;1600
BP2014_2023-5./1.2.5.1/0112-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0112-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2023-5./1.2.5.1/0119-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0119-00;6150010;IE-GEEN;Opleidingskosten;2000;1000;1000;1000;1000;1000
BP2014_2023-5./1.2.5.1/0130-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0130-00;6150010;IE-GEEN;Opleidingskosten;2000;1600;600;600;600;600
BP2014_2023-5./1.2.5.1/0160-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0160-00;6150010;IE-GEEN;Opleidingskosten;75;75;75;75;75;75
BP2014_2023-5./1.2.5.1/0190-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0190-00;6150010;IE-GEEN;Opleidingskosten;;3000;3000;3000;3000;3000
BP2014_2023-5./1.2.5.1/0200-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0200-00;6150010;IE-GEEN;Opleidingskosten;1000;8000;5000;5000;5000;5000
BP2014_2023-5./1.2.5.1/0309-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0309-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2023-5./1.2.5.1/0390-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0390-00;6150010;IE-GEEN;Opleidingskosten;;300;300;300;300;300
BP2014_2023-5./1.2.5.1/0520-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0520-00;6150010;IE-GEEN;Opleidingskosten;;150;150;150;150;150
BP2014_2023-5./1.2.5.1/0600-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0600-00;6150010;IE-GEEN;Opleidingskosten;600;300;300;300;300;300
BP2014_2023-5./1.2.5.1/0680-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0680-00;6150010;IE-GEEN;Opleidingskosten;650;1650;1650;1650;1650;1650
BP2014_2023-5./1.2.5.1/0701-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0701-00;6150010;IE-GEEN;Opleidingskosten;1000;1500;1500;1500;1500;1500
BP2014_2023-5./1.2.5.1/0703-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0703-00;6150010;IE-GEEN;Opleidingskosten;200;500;500;500;500;500
BP2014_2023-5./1.2.5.1/0740-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0740-00;6150010;IE-GEEN;Opleidingskosten;500;500;500;500;500;500
BP2014_2023-5./1.2.5.1/0750-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0750-00;6150010;IE-GEEN;Opleidingskosten;250;250;250;250;250;250
BP2014_2023-5./1.2.5.1/0800-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-00;6150010;IE-GEEN;Opleidingskosten;3000;3000;3000;3000;3000;3000
BP2014_2023-5./1.2.5.1/0800-01/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-01;6150010;IE-GEEN;Opleidingskosten;755;1600;1600;1600;1600;1600
BP2014_2023-5./1.2.5.1/0800-02/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-02;6150010;IE-GEEN;Opleidingskosten;5000;4500;4500;4500;4500;4500
BP2014_2023-5./2.1.1.1/0900-00/6494000/BESTUUR/CBS/IE-GEEN/U;2.1.1.1;0900-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;831577.64;982216.94;1001861.28;1021898.5;1042336.47;1063183.2
BP2014_2023-5./2.1.1.2/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toelagen welzijnsorganisaties;10000;10000;10000;10000;10000;10000
BP2014_2023-5./2.1.1.3/0985-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.1.3;0985-00;6159999;IE-GEEN;Overige exploitatiekosten;350;350;350;350;350;350
BP2014_2023-5./2.1.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;0;;;;;
BP2014_2023-5./2.1.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;1000;1000;1000;1000;1000;1000
BP2014_2023-5./2.2.1.1/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;4400;4400;4400;4400;4400;4400
BP2014_2023-5./2.2.1.1/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;100;100;100;100;100;100
BP2014_2023-5./2.2.1.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;562.5;1000;1000;1000;1000;1000
BP2014_2023-5./2.2.1.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;0;;;;;
BP2014_2023-5./2.2.1.4/0959-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.4;0959-00;6159999;IE-GEEN;Overige exploitatiekosten;250;250;250;250;250;250
BP2014_2023-5./2.2.1.7/0703-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.7;0703-00;6139999;IE-GEEN;PWA POB;8000;8000;8000;8000;8000;8000
BP2014_2023-5./2.2.2.2/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN; kinderopvang;15706.08;14000;14000;14000;14000;14000
BP2014_2023-5./2.2.2.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;9000;5000;5000;5000;5000;5000
BP2014_2023-5./2.2.2.3/0740-00/6150200/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6150200;IE-GEEN;Huur technisch materieel;1500;1500;1500;1500;1500;1500
BP2014_2023-5./2.2.2.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;3500;3500;3500;3500;3500;3500
BP2014_2023-5./2.2.2.3/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;4000;6500;6500;6500;6500;6500
BP2014_2023-5./2.2.2.4/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6159999;IE-GEEN;Organisatie evenementen en activiteiten.;7600;7600;7600;7600;7600;7600
BP2014_2023-5./2.2.2.4/0701-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.4;0701-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;400;400;400;400;400;400
BP2014_2023-5./2.2.2.4/0701-00/7010003/BESTUUR/CBS/IE-GEEN/O;2.2.2.4;0701-00;7010003;IE-GEEN;Toegangsgelden;2000;2000;2000;2000;2000;2000
BP2014_2023-5./2.2.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;500;1000;1000;1000;1000;1000
BP2014_2023-5./2.2.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;9000;12000;12000;12000;12000;12000
BP2014_2023-5./2.2.2.6/0740-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.6;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;18543.54;18000;18000;18000;18000;18000
BP2014_2023-5./2.2.2.6/0740-00/7005002/BESTUUR/CBS/IE-GEEN/O;2.2.2.6;0740-00;7005002;IE-GEEN;Inkomsten drank;0;;;;;
BP2014_2023-5./2.2.2.7/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;3281;4000;4000;4000;4000;4000
BP2014_2023-5./2.2.2.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;2000;2000;2000;2000;2000;2000
BP2014_2023-5./2.2.2.7/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6159999;IE-GEEN;Werkingsuitgaven speelpleinwerking;6000;8000;8000;8000;8000;8000
BP2014_2023-5./2.2.2.7/0750-00/6206000/BESTUUR/CBS/IE-GEEN/U;2.2.2.7;0750-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;7500;8500;8500;8500;8500;8500
BP2014_2023-5./2.2.2.7/0750-00/7406999/BESTUUR/CBS/IE-GEEN/O;2.2.2.7;0750-00;7406999;IE-GEEN;subsidie week van de opvoeding;0;;;;;
BP2014_2023-5./2.2.2.8/0750-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;600;1000;1000;1000;1000;1000
BP2014_2023-5./2.2.2.8/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;0;;;;;
BP2014_2023-5./2.2.2.8/0750-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.2.8;0750-00;6159999;IE-GEEN;Overige exploitatiekosten;4300;5000;5000;5000;5000;5000
BP2014_2023-5./2.2.3.1/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.1;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;100;500;500;500;500;500
BP2014_2023-5./2.2.3.2/0911-00/6499000/BESTUUR/CBS/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Arbeidszorgproject;27000;34500;34500;34500;34500;34500
BP2014_2023-5./2.2.3.4/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;;;300;;300;
BP2014_2023-5./2.2.3.4/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.4;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;1300;;1200;;1200;
BP2014_2023-5./2.2.3.5/0701-00/6400001/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0701-00;6400001;IE-GEEN;Roerende voorheffing;0;;;;;
BP2014_2023-5./2.2.3.5/0710-00/6430100/BESTUUR/CBS/IE-GEEN/U;2.2.3.5;0710-00;6430100;IE-GEEN;Tussenkomst in exploitatiekosten;4500;4500;4500;4500;4500;4500
BP2014_2023-5./2.2.3.6/0190-00/6143005/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0190-00;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing);0;;;;;
BP2014_2023-5./2.2.3.6/0701-00/6141007/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);1;1;;;;
BP2014_2023-5./2.2.3.6/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6159999;IE-GEEN;Initiatieven i.h.k.van gtelijk cultuurbeleidsplan;13000;6500;6500;6500;6500;6500
BP2014_2023-5./2.2.3.6/0701-00/6201000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;126501.27;130107;133360;136694;140111;143614
BP2014_2023-5./2.2.3.6/0701-00/6204000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6204000;IE-GEEN;Bezoldigingen tewerkstellingsprojecten;7000;5234;;;;
BP2014_2023-5./2.2.3.6/0701-00/6211000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;52156.76;53574;54913;56286;57693;59135
BP2014_2023-5./2.2.3.6/0701-00/6211001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;0;;;;;
BP2014_2023-5./2.2.3.6/0701-00/6214000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6214000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen -  tewerkstellingsprojecten;2050;1384;;;;
BP2014_2023-5./2.2.3.6/0701-00/6221100/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;878.72;896.29;896.29;896.29;896.29;896.29
BP2014_2023-5./2.2.3.6/0701-00/6224000/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6224000;IE-GEEN;Werkgeversbijdr. voor bovenwet.verzek. - 2de pijlerpensioen-tewerkstellingsproj.;135;;;;;
BP2014_2023-5./2.2.3.6/0701-00/6230001/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk;800;800;800;800;800;800
BP2014_2023-5./2.2.3.6/0701-00/6231003/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231003;IE-GEEN;Vakbondspremies;149.77000000000001;151.26;151.26;151.26;151.26;151.26
BP2014_2023-5./2.2.3.6/0701-00/6231004/BESTUUR/CBS/IE-GEEN/U;2.2.3.6;0701-00;6231004;IE-GEEN;Maaltijdcheques;3600;3600;3600;3600;3600;3600
BP2014_2023-5./2.2.3.6/0701-00/7470000/BESTUUR/CBS/IE-GEEN/O;2.2.3.6;0701-00;7470000;IE-GEEN;Werknemersinhouding maaltijdcheques;550;550;550;550;550;550
BP2014_2023-5./2.2.3.7/0701-00/6143001/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal;0;;;;;
BP2014_2023-5./2.2.3.7/0701-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.3.7;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;400;200;200;200;200;200
BP2014_2023-5./3.1.1.4/0200-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2140007;IE2;Overdracht krediet van 2017 naar 2018;1717.5;1956.98;;;;
BP2014_2023-5./3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;0200-00;2240007;IE2;Wegen - Activa in aanbouw;;84000;;;;
BP2014_2023-5./3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;0620-00;2200000;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;;300000;;;
BP2014_2023-5./3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/U;3.1.1.6;0620-00;2200000;IE2;Onbebouwde terreinen - gemeenschapsgoederen;26500;;;;;
BP2014_2023-5./3.1.2.1/0629-00/6139999/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;990;3000;3000;3000;3000;3000
BP2014_2023-5./3.1.2.1/0629-00/6493000/BESTUUR/CBS/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Project lokaal woonbeleid;34320;35640;40000;40000;40000;40000
BP2014_2023-5./3.1.2.2/0350-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.2;0350-00;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;500;500;500;500;500;500
BP2014_2023-5./3.1.2.3/0350-00/6139999/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;20000;10000;;;;
BP2014_2023-5./3.1.2.3/0350-00/6159999/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6159999;IE-GEEN;Overige exploitatiekosten;0;;;;;
BP2014_2023-5./3.1.2.3/0350-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.2.3;0350-00;6491000;IE-GEEN;Subsidie energiebesparing;12500;15000;15000;15000;15000;15000
BP2014_2023-5./3.1.3.2/0629-00/6491000/BESTUUR/CBS/IE-GEEN/U;3.1.3.2;0629-00;6491000;IE-GEEN;Verbeterings- en aanpassingspremie;6500;6500;6500;6500;6500;6500
BP2014_2023-5./3.2.1.1/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.1;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;90000;;;
BP2014_2023-5./3.2.1.1/0200-00/2240000/BESTUUR/CBS/IE3/U;3.2.1.1;0200-00;2240000;IE3;Wegen;;;100000;;;
BP2014_2023-5./3.2.1.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.1;0200-00;2240007;IE3;Wegen - Activa in aanbouw;;;;31534.6;;
BP2014_2023-5./3.2.1.2/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.2;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;2221560;;;
BP2014_2023-5./3.2.1.2/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.2;0200-00;2240007;IE3;Wegen - Activa in aanbouw;;;2776950;;;
BP2014_2023-5./3.2.1.3/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.3;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;92592.35;92592.35;;;
BP2014_2023-5./3.2.1.3/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.3;0200-00;2140007;IE3;Plannen en studies - Activa in aanbouw;20000;28999.02;;;;
BP2014_2023-5./3.2.1.3/0200-00/2200100/BESTUUR/CBS/IE3/U;3.2.1.3;0200-00;2200100;IE3;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;;206654.42;;;;
BP2014_2023-5./3.2.1.3/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.3;0200-00;2240007;IE3;Wegen - Activa in aanbouw;;351631.45;;;;
