Code;Actie;Beleidsitem;Alg. rek.;Investeringsenveloppe;Omschrijving;Res. raming
1.1.2.1/0530-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0530-00;6493000;IE-GEEN;* Subsidie landbouwraad;€ 250,00
1.1.2.1/0709-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0709-00;6493000;IE-GEEN;* Toelage culturele raad;€ 500,00
1.1.2.1/0729-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0729-00;6493000;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;€ 500,00
1.1.2.1/0740-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.1;0740-00;6493000;IE-GEEN;Toelage sportraad;€ 500,00
1.1.2.1/0750-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0750-00;6493000;IE-GEEN;Toelage jeugdraad;€ 500,00
1.1.2.1/0909-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0909-00;6493000;IE-GEEN;Toelage Welzijnsraad;€ 250,00
1.1.2.1/0944-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0944-00;6493000;IE-GEEN;Toelage Lokaal Overleg Kinderopvang;€ 250,00
1.1.2.1/0959-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0959-00;6493000;IE-GEEN;* Toelage seniorenraad;€ 250,00
1.1.2.2/0190-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.1.2.2;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 50,00
1.1.2.3/0190-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.1.2.3;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 50,00
1.1.2.5/0160-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.1.2.5;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 10.000,00
1.1.2.5/0800-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.1.2.5;0800-00;6159999;IE-GEEN;Scholenband;€ 0,00
1.2.3.1/0119-00/2140007/BESTUUR/CBS/0/IE1/U;1.2.3.1;0119-00;2140007;IE1;Plannen en studies - Activa in aanbouw;€ 171.124,77
1.2.3.1/0119-00/2210100/BESTUUR/CBS/600/IE1/O;1.2.3.1;0119-00;2210100;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;€ 1.750.000,00
1.2.3.1/0119-00/2210107/BESTUUR/CBS/0/IE1/U;1.2.3.1;0119-00;2210107;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;€ 1.151.943,56
1.2.3.1/0119-00/2240007/BESTUUR/CBS/0/IE1/U;1.2.3.1;0119-00;2240007;IE1;Wegen - Activa in aanbouw;€ 167.800,00
1.2.3.1/0119-00/2400000/BESTUUR/CBS/0/IE1/U;1.2.3.1;0119-00;2400000;IE1;Overdracht krediet van 2015 naar 2016;€ 245.000,00
1.2.3.2/0119-00/2410000/BESTUUR/CBS/0/IE1/U;1.2.3.2;0119-00;2410000;IE1;aankopen IT materiaal;€ 233.108,71
1.2.3.3/0600-00/6142999/BESTUUR/CBS/0/IE-GEEN/U;1.2.3.3;0600-00;6142999;IE-GEEN;Overige informaticakosten;€ 0,00
1.2.3.7/0113-00/6131002/BESTUUR/CBS/0/IE-GEEN/U;1.2.3.7;0113-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;€ 8.200,00
1.2.3.7/0113-00/6141001/BESTUUR/CBS/0/IE-GEEN/U;1.2.3.7;0113-00;6141001;IE-GEEN;Kantoorbenodigdheden;€ 300,00
1.2.3.8/0160-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.2.3.8;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 0,00
1.2.4.1/0721-00/6493000/BESTUUR/CBS/419/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;€ 4.000,00
1.2.4.1/0721-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
1.2.4.2/0729-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
1.2.4.2/0729-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Erfgoedplus;€ 500,00
1.2.4.3/0160-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.2.4.3;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 10.000,00
1.2.5.1/0100-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0100-00;6150010;IE-GEEN;Kosten van opleiding en bijscholing;€ 1.500,00
1.2.5.1/0110-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0110-00;6150010;IE-GEEN;Opleidingskosten;€ 384,00
1.2.5.1/0111-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0111-00;6150010;IE-GEEN;Opleidingskosten;€ 1.600,00
1.2.5.1/0112-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0112-00;6150010;IE-GEEN;Opleidingskosten;€ 150,00
1.2.5.1/0119-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0119-00;6150010;IE-GEEN;Opleidingskosten;€ 1.000,00
1.2.5.1/0130-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0130-00;6150010;IE-GEEN;Opleidingskosten;€ 1.800,00
1.2.5.1/0160-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0160-00;6150010;IE-GEEN;Opleidingskosten;€ 75,00
1.2.5.1/0200-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0200-00;6150010;IE-GEEN;Opleidingskosten;€ 8.000,00
1.2.5.1/0309-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0309-00;6150010;IE-GEEN;Opleidingskosten;€ 150,00
1.2.5.1/0390-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0390-00;6150010;IE-GEEN;Opleidingskosten;€ 500,00
1.2.5.1/0520-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0520-00;6150010;IE-GEEN;Opleidingskosten;€ 150,00
1.2.5.1/0600-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0600-00;6150010;IE-GEEN;Opleidingskosten;€ 300,00
1.2.5.1/0680-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0680-00;6150010;IE-GEEN;Opleidingskosten;€ 1.650,00
1.2.5.1/0701-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0701-00;6150010;IE-GEEN;Opleidingskosten;€ 1.500,00
1.2.5.1/0703-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0703-00;6150010;IE-GEEN;Opleidingskosten;€ 900,00
1.2.5.1/0740-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0740-00;6150010;IE-GEEN;Opleidingskosten;€ 750,00
1.2.5.1/0750-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0750-00;6150010;IE-GEEN;Opleidingskosten;€ 220,00
1.2.5.1/0800-00/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0800-00;6150010;IE-GEEN;Opleidingskosten;€ 100,00
1.2.5.1/0800-01/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0800-01;6150010;IE-GEEN;Opleidingskosten;€ 750,00
1.2.5.1/0800-02/6150010/BESTUUR/CBS/0/IE-GEEN/U;1.2.5.1;0800-02;6150010;IE-GEEN;Opleidingskosten;€ 2.000,00
2.1.1.1/0900-00/6494000/BESTUUR/CBS/420/IE-GEEN/U;2.1.1.1;0900-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;€ 846.654,72
2.1.1.1/0909-00/6494000/BESTUUR/CBS/420/IE-GEEN/U;2.1.1.1;0909-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;
2.1.1.2/0909-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
2.1.1.2/0909-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toelagen welzijnsorganisaties;€ 10.000,00
2.1.1.3/0985-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.1.1.3;0985-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 250,00
2.1.2.6/0740-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.1.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 0,00
2.1.2.6/0740-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.1.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.000,00
2.2.1.1/0740-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.1;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4.500,00
2.2.1.1/0740-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.1;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 0,00
2.2.1.3/0740-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 300,00
2.2.1.3/0740-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 0,00
2.2.1.4/0959-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.4;0959-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 552,00
2.2.1.7/0703-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.1.7;0703-00;6139999;IE-GEEN;PWA POB;€ 9.000,00
2.2.2.1/0750-00/6131002/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.1;0750-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;€ 1.000,00
2.2.2.2/0750-00/6493000/BESTUUR/CBS/600/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
2.2.2.2/0750-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN;Buitenschoolse kinderopvang;€ 14.000,00
2.2.2.2/0750-00/6640000/BESTUUR/CBS/800/IE6/U;2.2.2.2;0750-00;6640000;IE6;Overdracht krediet van 2015 naar 2016;€ 1.200,00
2.2.2.3/0740-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 5.000,00
2.2.2.3/0740-00/6150200/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.3;0740-00;6150200;IE-GEEN;Huur technisch materieel;€ 2.000,00
2.2.2.3/0740-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.000,00
2.2.2.3/0740-00/6206000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.3;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 7.000,00
2.2.2.4/0701-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.4;0701-00;6159999;IE-GEEN;Organisatie evenementen en activiteiten.;€ 8.000,00
2.2.2.4/0701-00/7010003/BESTUUR/CBS/0/IE-GEEN/O;2.2.2.4;0701-00;7010003;IE-GEEN;Toegangsgelden;€ 1.918,00
2.2.2.6/0740-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 400,00
2.2.2.6/0740-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 13.700,00
2.2.2.6/0740-00/6206000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.6;0740-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 18.000,00
2.2.2.6/0740-00/6216000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.6;0740-00;6216000;IE-GEEN;Werkgeversbijdragen voor ander niet-vastbenoemd personeel;€ 334,10
2.2.2.6/0740-00/7005002/BESTUUR/CBS/0/IE-GEEN/O;2.2.2.6;0740-00;7005002;IE-GEEN;Inkomsten drank;€ 800,00
2.2.2.7/0750-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.7;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 4.800,00
2.2.2.7/0750-00/6149000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;€ 2.000,00
2.2.2.7/0750-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.7;0750-00;6159999;IE-GEEN;Werkingsuitgaven speelpleinwerking;€ 10.000,00
2.2.2.7/0750-00/6206000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.7;0750-00;6206000;IE-GEEN;Bezoldigingen ander niet vastbenoemd personeel;€ 8.000,00
2.2.2.7/0750-00/7406999/BESTUUR/CBS/400/IE-GEEN/O;2.2.2.7;0750-00;7406999;IE-GEEN;subsidie week van de opvoeding;€ 1.000,00
2.2.2.8/0750-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.8;0750-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 1.500,00
2.2.2.8/0750-00/6149000/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.8;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;€ 0,00
2.2.2.8/0750-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.2.8;0750-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 4.700,00
2.2.3.1/0701-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.1;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 500,00
2.2.3.2/0911-00/6499000/BESTUUR/CBS/600/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Arbeidszorgproject;€ 25.800,00
2.2.3.2/0911-00/6499000/BESTUUR/CBS/800/IE-GEEN/U;2.2.3.2;0911-00;6499000;IE-GEEN;Samenwerkingsovereenkomsten;
2.2.3.5/0701-00/6400001/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.5;0701-00;6400001;IE-GEEN;Roerende voorheffing;€ 0,00
2.2.3.5/0710-00/6430100/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.5;0710-00;6430100;IE-GEEN;Tussenkomst in exploitatiekosten;€ 4.500,00
2.2.3.6/0190-00/6143005/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0190-00;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing);€ 100,00
2.2.3.6/0701-00/6141007/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);€ 0,00
2.2.3.6/0701-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6159999;IE-GEEN;Initiatieven i.h.k.van gtelijk cultuurbeleidsplan;€ 6.500,00
2.2.3.6/0701-00/6201000/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;€ 122.742,56
2.2.3.6/0701-00/6211000/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;€ 54.646,26
2.2.3.6/0701-00/6211001/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;€ 0,00
2.2.3.6/0701-00/6221100/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;€ 844,60
2.2.3.6/0701-00/6230001/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk;€ 800,00
2.2.3.6/0701-00/6231003/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6231003;IE-GEEN;Vakbondspremies;€ 146,84
2.2.3.6/0701-00/6231004/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.6;0701-00;6231004;IE-GEEN;Maaltijdcheques;€ 4.000,00
2.2.3.6/0701-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;2.2.3.6;0701-00;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;
2.2.3.6/0701-00/7470000/BESTUUR/CBS/0/IE-GEEN/O;2.2.3.6;0701-00;7470000;IE-GEEN;Werknemersinhouding maaltijdcheques;€ 500,00
2.2.3.7/0701-00/6143001/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.7;0701-00;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal;€ 0,00
2.2.3.7/0701-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;2.2.3.7;0701-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 200,00
3.1.1.4/0200-00/2140007/BESTUUR/CBS/0/IE2/U;3.1.1.4;0200-00;2140007;IE2;Studiekosten andeel wegenis Mevrouwkesveld;€ 4.052,19
3.1.1.4/0200-00/2240007/BESTUUR/CBS/0/IE2/U;3.1.1.4;0200-00;2240007;IE2;Aandeel wegenis Mevrouwkesveld;€ 100.000,00
3.1.1.5/0610-00/2240007/BESTUUR/CBS/0/IE2/U;3.1.1.5;0610-00;2240007;IE2;Woonproject De Wip;€ 0,00
3.1.2.1/0629-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;3.1.2.1;0629-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 5.000,00
3.1.2.1/0629-00/6493000/BESTUUR/CBS/440/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
3.1.2.1/0629-00/6493000/BESTUUR/CBS/600/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;
3.1.2.1/0629-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;3.1.2.1;0629-00;6493000;IE-GEEN;Project lokaal woonbeleid;€ 40.492,23
3.1.2.2/0350-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.2;0350-00;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;€ 500,00
3.1.2.2/0350-00/6491000/BESTUUR/CBS/800/IE-GEEN/U;3.1.2.2;0350-00;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;
3.1.2.3/0310-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.3;0310-00;6491000;IE-GEEN;Sanering stookolietanks;€ 0,00
3.1.2.3/0350-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;3.1.2.3;0350-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 500,00
3.1.2.3/0350-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.3;0350-00;6491000;IE-GEEN;Subsidie energiebesparing;€ 17.000,00
3.1.3.2/0629-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.3.2;0629-00;6491000;IE-GEEN;Verbeterings- en aanpassingspremie;€ 6.500,00
3.2.1.1/0200-00/1500000/BESTUUR/CBS/300/IE3/O;3.2.1.1;0200-00;1500000;IE3;studie- en uitvoeringskosten fietsroute Leuven - Tienen;€ 0,00
3.2.1.1/0200-00/2140007/BESTUUR/CBS/0/IE3/U;3.2.1.1;0200-00;2140007;IE3;Studiekosten en uitvoering fietsroute Leuven-Tienen;€ 28.129,19
3.2.1.1/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.1.1;0200-00;2240007;IE3;Wegen - Activa in aanbouw;€ 0,00
3.2.1.2/0200-00/1500000/BESTUUR/CBS/300/IE3/O;3.2.1.2;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;
3.2.1.3/0200-00/1500000/BESTUUR/CBS/300/IE3/O;3.2.1.3;0200-00;1500000;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;€ 241.883,64
3.2.1.3/0200-00/2140007/BESTUUR/CBS/0/IE3/U;3.2.1.3;0200-00;2140007;IE3;Plannen en studies - Activa in aanbouw;€ 30.039,35
3.2.1.3/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.1.3;0200-00;2240007;IE3;Uitvoering fietspad Pellenberg;€ 345.047,15
3.2.1.5/0200-00/2140007/BESTUUR/CBS/0/IE3/U;3.2.1.5;0200-00;2140007;IE3;Studiekosten diverse fietspaden;€ 43.718,33
3.2.1.6/0200-00/6150001/BESTUUR/CBS/0/IE-GEEN/U;3.2.1.6;0200-00;6150001;IE-GEEN;Aankoop klein materieel;€ 3.500,00
3.2.1.7/0200-00/2140007/BESTUUR/CBS/0/IE3/U;3.2.1.7;0200-00;2140007;IE3;studiekosten wegenwerken;€ 55.000,00
3.2.1.7/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.1.7;0200-00;2240007;IE3;Heraanleg diverse wegen;€ 388.006,39
3.2.1.7/0310-00/1500000/BESTUUR/CBS/300/IE3/O;3.2.1.7;0310-00;1500000;IE3;Overdracht krediet van 2015 naar 2016;€ 214.744,00
3.2.1.8/0200-00/1500000/BESTUUR/CBS/300/IE3/O;3.2.1.8;0200-00;1500000;IE3;Overdracht krediet van 2015 naar 2016;€ 544.985,02
3.2.1.10/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.1.10;0200-00;2240007;IE3;Onderhoud wegen;€ 151.132,59
3.2.1.10/0200-00/6103510/BESTUUR/CBS/0/IE-GEEN/U;3.2.1.10;0200-00;6103510;IE-GEEN;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);€ 60.000,00
3.2.1.14/0290-00/2250000/BESTUUR/CBS/0/IE3/U;3.2.1.14;0290-00;2250000;IE3;Overige infrastructuur betreffende de wegen;€ 30.000,00
3.2.2.1/0200-00/6103510/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.1;0200-00;6103510;IE-GEEN;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);€ 15.000,00
3.2.2.1/0290-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.1;0290-00;6139999;IE-GEEN;Uitvoering mobiliteitsplan : prestaties van derden;€ 4.000,00
3.2.2.2/0210-00/2250000/BESTUUR/CBS/0/IE3/U;3.2.2.2;0210-00;2250000;IE3;Schuilhuisjes;€ 7.500,00
3.2.2.2/0210-00/6040000/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.2;0210-00;6040000;IE-GEEN;Aankopen van roerende goederen bestemd voor verkoop;€ 0,00
3.2.2.2/0210-00/6150005/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.2;0210-00;6150005;IE-GEEN;Overeenkomst De Lijn;€ 12.000,00
3.2.2.3/0290-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.3;0290-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.500,00
3.2.2.4/0290-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;3.2.2.4;0290-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.000,00
3.2.3.1/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.3.1;0200-00;2240007;IE3;Heraanleg Panoramalaan;€ 250.000,00
3.2.3.2/0290-00/6139999/BESTUUR/CBS/0/IE-GEEN/U;3.2.3.2;0290-00;6139999;IE-GEEN;Prestaties van derden (Uitvoeren verkeersmetingen en -tellingen);€ 1.500,00
3.2.3.3/0290-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;3.2.3.3;0290-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.000,00
3.2.4.1/0200-00/2240007/BESTUUR/CBS/0/IE3/U;3.2.4.1;0200-00;2240007;IE3;Overdracht krediet van 2015 naar 2016;€ 7.223,76
3.2.4.3/0290-00/6150300/BESTUUR/CBS/0/IE-GEEN/U;3.2.4.3;0290-00;6150300;IE-GEEN;Onderhoud en herstelling technisch materieel;€ 3.500,00
3.3.1.1/0200-00/2240007/BESTUUR/CBS/0/IE6/U;3.3.1.1;0200-00;2240007;IE6;voetpad Keizerstraat en dorpskern Lovenjoel;€ 304.896,57
3.3.1.3/0610-00/2140000/BESTUUR/CBS/0/IE6/U;3.3.1.3;0610-00;2140000;IE6;Plannen en studies;€ 15.000,00
3.3.1.4/0610-00/2140000/BESTUUR/CBS/0/IE6/U;3.3.1.4;0610-00;2140000;IE6;Plannen en studies;€ 30.000,00
3.3.1.5/0610-00/2140000/BESTUUR/CBS/0/IE6/U;3.3.1.5;0610-00;2140000;IE6;Plannen en studies;€ 15.000,00
